#separator:tab
#html:true
#columns:JP	OptionA	OptionB	Answer	Why	Tip	Audio	Tags
#notetype:Contrast
#deck:Japanese Grammar::05 - N1 Grammar::Contrast
#
民のためんがため、命を捨てた。	べく	ように	んがため	んがため = for the sake of (classical)	For the people's sake, sacrificed life	[sound:95922e749fcd.mp3]	module:05-n1 jlpt:n1 register:literary point:n1-rare-elevated pos:expr frequency:top10k complexity:standard
国を守らんがため、戦った。	べく	ように	んがため	んがため = in order to (archaic)	Fought to protect nation	[sound:d51a88b864c8.mp3]	module:05-n1 jlpt:n1 register:literary point:n1-rare-elevated pos:expr frequency:top1k complexity:intro
成功せんべく、努力する。	んがため	ように	べく	べく = so as to/in order to (formal)	Strive in order to succeed	[sound:0469893e3e6d.mp3]	module:05-n1 jlpt:n1 register:literary point:n1-rare-elevated pos:expr frequency:top10k complexity:intro
完璧であるべく、練習した。	んがため	ように	べく	べく = ought to be/proper to be	Practiced to be perfect	[sound:4c90e41abfdf.mp3]	module:05-n1 jlpt:n1 register:literary point:n1-rare-elevated pos:expr frequency:top1k complexity:intro
言われたようにやってみた。	んがため	べく	ように	ように = in the manner of/as	Did it the way I was told	[sound:fb2a6720bc48.mp3]	module:05-n1 jlpt:n1 register:literary point:n1-rare-elevated pos:expr complexity:standard
彼が行ったように、私も行った。	んがため	べく	ように	ように = the same way/as if	Went the same way he did	[sound:94326ae8c893.mp3]	module:05-n1 jlpt:n1 register:literary point:n1-rare-elevated pos:expr frequency:top5k complexity:standard
正義を貫かんがため、立ち上がった。	べく	ように	んがため	んがため = for purpose of/so that	Rose up for justice	[sound:c617d225dd74.mp3]	module:05-n1 jlpt:n1 register:literary point:n1-rare-elevated pos:expr frequency:low complexity:standard
一流になるべく、修行中だ。	んがため	ように	べく	べく = with goal to/in order to	Training to become first-rate	[sound:fc56c9d2e892.mp3]	module:05-n1 jlpt:n1 register:literary point:n1-rare-elevated pos:expr frequency:low complexity:intro
雨が降ったように、地面は濡れている。	んがため	べく	ように	ように = as if/as though	Ground is wet as if rained	[sound:73874540aee5.mp3]	module:05-n1 jlpt:n1 register:literary point:n1-rare-elevated pos:expr frequency:low complexity:standard
助けんがため、駆けつけた。	べく	ように	んがため	んがため = for sake of helping	Rushed to help	[sound:a3d8ba058ff1.mp3]	module:05-n1 jlpt:n1 register:literary point:n1-rare-elevated pos:expr frequency:low complexity:intro
