#separator:tab
#html:true
#columns:JP	OptionA	OptionB	Answer	Why	Tip	Audio	Tags
#notetype:Contrast
#deck:Japanese Grammar::05 - N1 Grammar::Contrast

良い話では___。	ざるをえない	ねばならない	ないでもない	ないでもない = not entirely bad/some truth	Not entirely bad (somewhat good)	[sound:3fdb70eb8a33.mp3]	module:05-n1 jlpt:n1 register:literary point:ないでもない pos:expr frequency:top10k complexity:intro source:shin-kanzen
不可能では___状況だ。	ざるをえない	ねばならない	ないでもない	ないでもない = not impossible (possible)	Situation is not entirely impossible	[sound:61cb19e5bd1f.mp3]	module:05-n1 jlpt:n1 register:literary point:ないでもない pos:expr frequency:top10k source:shin-kanzen complexity:intro
その意見を受け入れ___。	ないでもない	ねばならない	ざるをえない	ざるをえない = have no choice but	Have no choice but accept that view	[sound:268c202a21eb.mp3]	module:05-n1 jlpt:n1 register:literary point:ないでもない pos:expr frequency:low complexity:standard source:shin-kanzen
その条件を飲まざるをえなかった。	ないでもない	ねばならない	ざるをえない	ざるをえない = forced to/reluctant necessity	Had to accept those terms	[sound:b66252ec8990.mp3]	module:05-n1 jlpt:n1 register:literary point:ないでもない pos:expr frequency:top10k complexity:standard source:shin-kanzen
親の決定に従わ___。	ないでもない	ざるをえない	ねばならない	ねばならない = must/have to (obligation)	Must follow parent's decision	[sound:56c9d2f0b6e1.mp3]	module:05-n1 jlpt:n1 register:literary point:ないでもない pos:expr frequency:top10k source:shin-kanzen complexity:intro
困難でも進む___時がある。	ないでもない	ざるをえない	ねばならない	ねばならない = must regardless	Must push forward despite difficulty	[sound:6a48d28273ea.mp3]	module:05-n1 jlpt:n1 register:literary point:ないでもない pos:expr frequency:top10k complexity:standard source:shin-kanzen
その話は悪いことでは___。	ざるをえない	ねばならない	ないでもない	ないでもない = not bad/somewhat good	That story is not entirely bad	[sound:fd927a27cba4.mp3]	module:05-n1 jlpt:n1 register:literary point:ないでもない pos:expr frequency:top1k complexity:standard source:shin-kanzen
逃げられ___立場だ。	ないでもない	ねばならない	ざるをえない	ざるをえない = inescapable situation	Situation forces escape	[sound:22296ad88de1.mp3]	module:05-n1 jlpt:n1 register:literary point:ないでもない pos:expr frequency:top10k source:shin-kanzen complexity:intro
その道を歩ま___宿命だ。	ないでもない	ざるをえない	ねばならない	ねばならない = destined must	Fated to walk that path	[sound:5df4aa68baee.mp3]	module:05-n1 jlpt:n1 register:literary point:ないでもない pos:expr frequency:low complexity:standard source:shin-kanzen
不利では___状況である。	ざるをえない	ねばならない	ないでもない	ないでもない = not entirely unfavorable	Situation is not entirely unfavorable	[sound:8bc4b95fb3e0.mp3]	module:05-n1 jlpt:n1 register:literary point:ないでもない pos:expr frequency:top10k complexity:standard source:shin-kanzen
