#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#
#deck:Japanese Grammar (Strict)::03 - N3 Grammar::Recognition

彼は頭が良い。それに、努力家だ。	かれはあたまがよい。それに、どりょくかだ。	He's intelligent. And moreover, he's hardworking.	Sequential addition	それに	Building positive points	Additional advantage	82ba5a9617b6	[sound:82ba5a9617b6.mp3]	module:03-n3 jlpt:n3 point:ずに complexity:standard frequency:top10k source:shin-kanzen
不景気だ。それにしても、我が社は成長している。	ふけいきだ。それにしても、わがしゃはせいちょうしている。	It's a recession. Despite that, our company is growing.	Defiant resilience	それにしても	Counter economic trend	Macro downturn	51e4239e3650	[sound:51e4239e3650.mp3]	module:03-n3 jlpt:n3 point:ずに complexity:standard frequency:low source:shin-kanzen
昨日は雨だった。それに今日も雨だ。	きのうはあめだった。それにきょうもあめだ。	Yesterday was rainy. And today is also rainy.	Repeated condition	それに	Rain persistence	Consecutive days	215a4b3c6bf8	[sound:fa685e149732.mp3]	module:03-n3 jlpt:n3 point:ずに complexity:standard frequency:top1k source:shin-kanzen
彼は遅刻した。それにしても、謝罪もない。	かれはちこくした。それにしても、しゃざいもない。	He was late. And moreover, he didn't apologize.	Compounded rudeness	それにしても	Twofold offense	Lateness	bdec6a727071	[sound:bdec6a727071.mp3]	module:03-n3 jlpt:n3 point:ずに complexity:standard frequency:top10k source:shin-kanzen
仕事が増えた。それに給料は変わらない。	しごとがふえた。それにきゅうりょうはかわらない。	Work increased. And besides, my salary hasn't changed.	Unfair burden	それに	Wage stagnation	Task increase	c826668cf0f3	[sound:6cffcf3cde0f.mp3]	module:03-n3 jlpt:n3 point:ずに complexity:standard frequency:top10k source:shin-kanzen
たとえ失敗しても、後悔しない。	たとえしっぱいしても、こうかいしない。	Even if I fail, I won't regret it.	Hypothetical determination	たとえ	Preemptive acceptance	Potential failure	6385cc0a34e5	[sound:12d4b4c461db.mp3]	module:03-n3 jlpt:n3 point:ずに complexity:standard frequency:top10k source:shin-kanzen
もし雨が降ったら、運動会は中止だ。	もしあめがふったら、うんどうかいはちゅうしだ。	If it rains, the sports day will be cancelled.	Conditional event	もし	Weather cancellation	Rain scenario	9d9534742538	[sound:fce08115c8cf.mp3]	module:03-n3 jlpt:n3 point:ずに complexity:standard frequency:top10k source:shin-kanzen
たとえどんなに高くても、欲しい。	たとえどんなにたかくても、ほしい。	No matter how expensive, I want it.	Price indifference	たとえ	Strong desire	High cost	59ba04fdf1fd	[sound:2d8e8e14401b.mp3]	module:03-n3 jlpt:n3 point:ずに complexity:standard frequency:top1k source:shin-kanzen
もしかしたら、彼は来るかもしれない。	もしかしたら、かれはくるかもしれない。	Perhaps he might come.	Possibility hedging	もし	Uncertain arrival	Guest expectation	0b08df956c95	[sound:fb15ab7a1227.mp3]	module:03-n3 jlpt:n3 point:ずに complexity:standard frequency:top5k source:shin-kanzen
たとえ何が起きても、冷静でいる。	たとえなにがおきても、れいせいでいる。	Whatever happens, I'll stay calm.	Absolute composure	たとえ	Emotional stability	Unknown crisis	1091655b944c	[sound:8da6d7849fd8.mp3]	module:03-n3 jlpt:n3 point:ずに complexity:standard frequency:top10k source:shin-kanzen
