#columns:point_slug	jlpt	module	bunpro_id	tofugu_url	imabi_url	shinkanzen_ref	djg_page	notes

-んです-のです	n5	01-n5	bunpro:-んです-のです			sk:auto/n5	djg:bunpro/-んです-のです	strict-deck; bunpro:-んです-のです; ～んです・のです; Explanatory, Emphasis, The fact is
adjective-て-b	n5	01-n5	bunpro:adjective-て-b			sk:auto/n5	djg:bunpro/adjective-て-b	strict-deck; bunpro:adjective-て-b; Adjective + て + B; And..., Both and (Conjunctive)
adjective-て-noun-で	n5	01-n5	bunpro:adjective-て-noun-で			sk:auto/n5	djg:bunpro/adjective-て-noun-で	strict-deck; bunpro:adjective-て-noun-で; Adjective + て・Noun + で; And... (Conjunctive)
adjective-の-は	n5	01-n5	bunpro:adjective-の-は			sk:auto/n5	djg:bunpro/adjective-の-は	strict-deck; bunpro:adjective-の-は; Adjective + の(は); The 'one' that... (Indefinite pronoun, Adjective nominalization)
negative-い-adjectives	n5	01-n5	bunpro:negative-い-adjectives			sk:auto/n5	djg:bunpro/negative-い-adjectives	strict-deck; bunpro:negative-い-adjectives; い-Adjectives くない; Not (Adjective)
noun-まで	n5	01-n5	bunpro:noun-まで			sk:auto/n5	djg:bunpro/noun-まで	strict-deck; bunpro:noun-まで; Noun + まで; Until, Till,  To (but no further than)
past-tense-い-adjectives	n5	01-n5	bunpro:past-tense-い-adjectives			sk:auto/n5	djg:bunpro/past-tense-い-adjectives	strict-deck; bunpro:past-tense-い-adjectives; い-Adjective (Past); Was, Were (Past tense)
polite-verb-endings	n5	01-n5	bunpro:polite-verb-endings			sk:auto/n5	djg:bunpro/polite-verb-endings	strict-deck; bunpro:polite-verb-endings; ます; Polite Verb Endings
v-まで	n5	01-n5	bunpro:v-まで			sk:auto/n5	djg:bunpro/v-まで	strict-deck; bunpro:v-まで; Verb + まで; Until (something) happens
verb-non-past	n5	01-n5	bunpro:verb-non-past			sk:auto/n5	djg:bunpro/verb-non-past	strict-deck; bunpro:verb-non-past; Verbs (Non-past); (Non-past)
verb-た-noun	n5	01-n5	bunpro:verb-た-noun			sk:auto/n5	djg:bunpro/verb-た-noun	strict-deck; bunpro:verb-た-noun; Verb［た・ている］+ Noun; Verb modified noun, Relative clause
verb-て	n5	01-n5	bunpro:verb-て			sk:auto/n5	djg:bunpro/verb-て	strict-deck; bunpro:verb-て; Verb + て; And, Then (Linking events)
verb-て-b	n5	01-n5	bunpro:verb-て-b			sk:auto/n5	djg:bunpro/verb-て-b	strict-deck; bunpro:verb-て-b; Verb + て+ B; And, And then, After that (sequence)
verb-てもいい	n5	01-n5	bunpro:verb-てもいい			sk:auto/n5	djg:bunpro/verb-てもいい	strict-deck; bunpro:verb-てもいい; Verb + てもいい; It's okay to, It's alright to, Can/may
verb-にいく	n5	01-n5	bunpro:verb-にいく			sk:auto/n5	djg:bunpro/verb-にいく	strict-deck; bunpro:verb-にいく; Verb + にいく; To go ~, To go in order to ~
あげる	n5	01-n5	bunpro:あげる			sk:auto/n5	djg:bunpro/あげる	strict-deck; bunpro:あげる; あげる; To give (away), To present, To provide
あそこ	n5	01-n5	bunpro:あそこ			sk:auto/n5	djg:bunpro/あそこ	strict-deck; bunpro:あそこ; あそこ; Over there
あの	n5	01-n5	bunpro:あの			sk:auto/n5	djg:bunpro/あの	strict-deck; bunpro:あの; あの; That (over there)
あれ	n5	01-n5	bunpro:あれ			sk:auto/n5	djg:bunpro/あれ	strict-deck; bunpro:あれ; あれ; That (over there)
い-Adjective-くなかった	n5	01-n5	bunpro:い-Adjective-くなかった			sk:auto/n5	djg:bunpro/い-Adjective-くなかった	strict-deck; bunpro:い-Adjective-くなかった; い-Adjective くなかった; Was not, Wasn't (Adjective)
い-adjective-noun	n5	01-n5	bunpro:い-adjective-noun			sk:auto/n5	djg:bunpro/い-adjective-noun	strict-deck; bunpro:い-adjective-noun; い-Adjective + Noun; Describing a noun
い-adjective-predicate	n5	01-n5	bunpro:い-adjective-predicate			sk:auto/n5	djg:bunpro/い-adjective-predicate	strict-deck; bunpro:い-adjective-predicate; い-Adjective (Predicate); い-Adjective (Predicate)
い-adjectives	n5	01-n5	bunpro:い-adjectives			sk:auto/n5	djg:bunpro/い-adjectives	strict-deck; bunpro:い-adjectives; い-Adjectives; Adjectives ending in い
いい	n5	01-n5	bunpro:いい			sk:auto/n5	djg:bunpro/いい	strict-deck; bunpro:いい; いい; い-Adjective meaning 'good'
う-Verbs	n5	01-n5	bunpro:う-Verbs			sk:auto/n5	djg:bunpro/う-Verbs	strict-deck; bunpro:う-Verbs; う-Verb (Dictionary); う + ます (Godan Verbs)
う-verb-neg-past	n5	01-n5	bunpro:う-verb-neg-past			sk:auto/n5	djg:bunpro/う-verb-neg-past	strict-deck; bunpro:う-verb-neg-past; う-Verb (Negative-Past); う - Verbs (Negative-past tense)
う-verb-past	n5	01-n5	bunpro:う-verb-past			sk:auto/n5	djg:bunpro/う-verb-past	strict-deck; bunpro:う-verb-past; う-Verb (Past); う - Verbs (Past tense)
うverb--ない	n5	01-n5	bunpro:うverb--ない			sk:auto/n5	djg:bunpro/うverb--ない	strict-deck; bunpro:うverb--ない; う-Verb (Negative); Will/Does/Do (not)
か	n5	01-n5	bunpro:か			sk:auto/n5	djg:bunpro/か	strict-deck; bunpro:か; か; Question marking particle
か-or	n5	01-n5	bunpro:か-or			sk:auto/n5	djg:bunpro/か-or	strict-deck; bunpro:か-or; か; Or
から	n5	01-n5	bunpro:から			sk:auto/n5	djg:bunpro/から	strict-deck; bunpro:から; から; From
から-because	n5	01-n5	bunpro:から-because			sk:auto/n5	djg:bunpro/から-because	strict-deck; bunpro:から-because; から; Because, Since
が	n5	01-n5	bunpro:が			sk:auto/n5	djg:bunpro/が	strict-deck; bunpro:が; が; Subject marking particle, Identification particle
が-but	n5	01-n5	bunpro:が-but			sk:auto/n5	djg:bunpro/が-but	strict-deck; bunpro:が-but; が; But, However
がある	n5	01-n5	bunpro:がある			sk:auto/n5	djg:bunpro/がある	strict-deck; bunpro:がある; がある; To be, There is
がある-noun	n5	01-n5	bunpro:がある-noun			sk:auto/n5	djg:bunpro/がある-noun	strict-deck; bunpro:がある-noun; がある + Noun; Noun (B) that has Noun (A), Noun (B) with Noun (A)
がいる	n5	01-n5	bunpro:がいる			sk:auto/n5	djg:bunpro/がいる	strict-deck; bunpro:がいる; がいる; To be, There is,  To remain (in a state)
きらい	n5	01-n5	bunpro:きらい			sk:auto/n5	djg:bunpro/きらい	strict-deck; bunpro:きらい; きらい; Dislike, Not fond of
くらい1	n5	01-n5	bunpro:くらい1			sk:auto/n5	djg:bunpro/くらい1	strict-deck; bunpro:くらい1; くらい ①; About, Approximately
くる	n5	01-n5	bunpro:くる			sk:auto/n5	djg:bunpro/くる	strict-deck; bunpro:くる; くる; To come
くれる	n5	01-n5	bunpro:くれる			sk:auto/n5	djg:bunpro/くれる	strict-deck; bunpro:くれる; くれる; To give (me), To be given
けっこう	n5	01-n5	bunpro:けっこう			sk:auto/n5	djg:bunpro/けっこう	strict-deck; bunpro:けっこう; けっこう; Quite, A lot, Fairly, Rather
けど-だけど	n5	01-n5	bunpro:けど-だけど			sk:auto/n5	djg:bunpro/けど-だけど	strict-deck; bunpro:けど-だけど; けど・だけど; But, However
けれども	n5	01-n5	bunpro:けれども			sk:auto/n5	djg:bunpro/けれども	strict-deck; bunpro:けれども; けれども; But, Although
ここ	n5	01-n5	bunpro:ここ			sk:auto/n5	djg:bunpro/ここ	strict-deck; bunpro:ここ; ここ; Here, This place
この	n5	01-n5	bunpro:この			sk:auto/n5	djg:bunpro/この	strict-deck; bunpro:この; この; This
これ	n5	01-n5	bunpro:これ			sk:auto/n5	djg:bunpro/これ	strict-deck; bunpro:これ; これ; This
じゃない	n5	01-n5	bunpro:じゃない			sk:auto/n5	djg:bunpro/じゃない	strict-deck; bunpro:じゃない; じゃない; Is not, Isn't
じゃなかった	n5	01-n5	bunpro:じゃなかった			sk:auto/n5	djg:bunpro/じゃなかった	strict-deck; bunpro:じゃなかった; じゃなかった; Was not, Wasn't
すき	n5	01-n5	bunpro:すき			sk:auto/n5	djg:bunpro/すき	strict-deck; bunpro:すき; 好き; Like, Fond of
すぎる	n5	01-n5	bunpro:すぎる			sk:auto/n5	djg:bunpro/すぎる	strict-deck; bunpro:すぎる; すぎる; Too much, Very
する	n5	01-n5	bunpro:する			sk:auto/n5	djg:bunpro/する	strict-deck; bunpro:する; する; To do, To make into
そこ	n5	01-n5	bunpro:そこ			sk:auto/n5	djg:bunpro/そこ	strict-deck; bunpro:そこ; そこ; There, That place
その	n5	01-n5	bunpro:その			sk:auto/n5	djg:bunpro/その	strict-deck; bunpro:その; その; That
それ	n5	01-n5	bunpro:それ			sk:auto/n5	djg:bunpro/それ	strict-deck; bunpro:それ; それ; That
たい	n5	01-n5	bunpro:たい			sk:auto/n5	djg:bunpro/たい	strict-deck; bunpro:たい; たい; Want to do
たくさん	n5	01-n5	bunpro:たくさん			sk:auto/n5	djg:bunpro/たくさん	strict-deck; bunpro:たくさん; たくさん; Many, A lot of, Plenty, Enough
たことがある	n5	01-n5	bunpro:たことがある			sk:auto/n5	djg:bunpro/たことがある	strict-deck; bunpro:たことがある; たことがある; Have done before
たほうがいい	n5	01-n5	bunpro:たほうがいい			sk:auto/n5	djg:bunpro/たほうがいい	strict-deck; bunpro:たほうがいい; たほうがいい; It'd be better to, Should do
たり-たりする	n5	01-n5	bunpro:たり-たりする			sk:auto/n5	djg:bunpro/たり-たりする	strict-deck; bunpro:たり-たりする; たり～たりする; Things like ~ and ~
だ	n5	01-n5	bunpro:だ			sk:auto/n5	djg:bunpro/だ	strict-deck; bunpro:だ; だ; To be, Is
だけ	n5	01-n5	bunpro:だけ			sk:auto/n5	djg:bunpro/だけ	strict-deck; bunpro:だけ; だけ; Only, Just
だった-でした	n5	01-n5	bunpro:だった-でした			sk:auto/n5	djg:bunpro/だった-でした	strict-deck; bunpro:だった-でした; だった・でした; Was, Were (Past tense)
だれ	n5	01-n5	bunpro:だれ			sk:auto/n5	djg:bunpro/だれ	strict-deck; bunpro:だれ; 誰; Who
だろう	n5	01-n5	bunpro:だろう			sk:auto/n5	djg:bunpro/だろう	strict-deck; bunpro:だろう; だろう; Right?, Probably, Isn't it?
って	n5	01-n5	bunpro:って			sk:auto/n5	djg:bunpro/って	strict-deck; bunpro:って; って; Casual quotation
つもりだ	n5	01-n5	bunpro:つもりだ			sk:auto/n5	djg:bunpro/つもりだ	strict-deck; bunpro:つもりだ; つもりだ; To plan to, To intend to
