#separator:tab
#html:true
#columns:Text	Reading	Hint	Audio	Tags
#notetype:Cloze
#deck:Japanese Grammar::08 - Slang::Cloze
#
それ、{{c1::マジ}}？	それ、{{c1::まじ}}。	Are you serious about that?	[sound:7d355c0096f9.mp3]	register:slang domain:gen-z module:08-slang point:youth-slang complexity:intro source:tofugu
{{c1::チョー}}かわいい。	{{c1::ちょー}}かわいい。	That's super cute.	[sound:f89ddfcc336f.mp3]	register:slang domain:gen-z module:08-slang point:youth-slang complexity:intro source:tofugu
{{c1::めっちゃ}}面白い。	{{c1::めっちゃ}}おもしろい。	That's really funny.	[sound:2854a15185f8.mp3]	register:slang domain:gen-z module:08-slang point:youth-slang complexity:intro frequency:top1k source:tofugu
{{c1::えぐい}}、そのゲーム。	{{c1::えぐい}}、そのげーむ。	That game is intense.	[sound:28f2b985b243.mp3]	register:slang domain:gen-z module:08-slang point:youth-slang complexity:intro frequency:top10k source:tofugu
それ、{{c1::えぐいやん}}。	それ、{{c1::えぐいやん}}。	That's seriously intense.	[sound:8f3f7ffa7123.mp3]	register:slang domain:gen-z module:08-slang point:youth-slang complexity:intro source:tofugu
{{c1::バエる}}写真だね。	{{c1::ばえる}}しゃしんだね。	That's an Insta-worthy photo.	[sound:dbb9654ab628.mp3]	register:slang domain:gen-z module:08-slang point:youth-slang complexity:intro frequency:top1k source:tofugu
{{c1::スルー}}したよ。	{{c1::するー}}したよ。	I ignored it.	[sound:ddf9629e639e.mp3]	register:slang domain:gen-z module:08-slang point:youth-slang complexity:intro source:tofugu
{{c1::ポシャった}}計画。	{{c1::ぽしゃった}}けいかく。	The plan fell apart.	[sound:0a983748848d.mp3]	register:slang domain:gen-z module:08-slang point:youth-slang complexity:intro frequency:top5k source:tofugu
{{c1::だぶだぶ}}の服。	{{c1::だぶだぶ}}のふく。	Oversized clothing.	[sound:abeabb5fd2a7.mp3]	register:slang domain:gen-z module:08-slang point:youth-slang complexity:intro frequency:top1k source:tofugu
{{c1::ダルダル}}で勉強できない。	{{c1::だるだる}}でべんきょうできない。	I'm too lazy to study.	[sound:3902e7eb71a5.mp3]	register:slang domain:gen-z module:08-slang point:youth-slang complexity:intro frequency:top1k source:tofugu
それ、{{c1::ウケる}}！	それ、{{c1::ウケる}}。	That's hilarious!	[sound:a30d5506a813.mp3]	register:slang domain:gen-z module:08-slang point:youth-slang complexity:intro source:tofugu
{{c1::それな}}、わかるわ。	{{c1::それな}}、わかるわ。	That's so true, I get it.	[sound:89db8feb6247.mp3]	register:slang domain:gen-z module:08-slang point:youth-slang complexity:intro source:tofugu
{{c1::ホント}}つらい。	{{c1::ほんと}}つらい。	This is seriously tough.	[sound:c202886d3863.mp3]	register:slang domain:gen-z module:08-slang point:youth-slang complexity:intro source:tofugu
クソ、{{c1::難しい}}。	くそ、{{c1::むずかしい}}。	That's damn difficult.	[sound:712ae7345f83.mp3]	register:slang domain:gen-z module:08-slang point:youth-slang complexity:intro frequency:top1k source:tofugu
{{c1::推し}}に貢いでる。	{{c1::おし}}につぎでる。	My favorite's new song.	[sound:49c416a325bb.mp3]	register:slang domain:gen-z module:08-slang point:youth-slang complexity:intro source:tofugu
{{c1::ザ}}・レトロだね。	{{c1::ざ}}・れとろだね。	That's totally retro.	[sound:d8605d61f992.mp3]	register:slang domain:gen-z module:08-slang point:youth-slang complexity:intro source:tofugu
{{c1::チル}}、いいよね。	{{c1::ちる}}、いいよね。	Chill vibes are nice.	[sound:5e40896b49ed.mp3]	register:slang domain:gen-z module:08-slang point:youth-slang complexity:intro source:tofugu
{{c1::ヤバい}}、その見た目。	{{c1::やばい}}、そのみたため。	That look is wild.	[sound:aeaeef366b4d.mp3]	register:slang domain:gen-z module:08-slang point:youth-slang complexity:intro frequency:top1k source:tofugu
{{c1::アゲアゲ}}だね。	{{c1::あげあげ}}だね。	You're in a great mood.	[sound:06f23c31eade.mp3]	register:slang domain:gen-z module:08-slang point:youth-slang complexity:intro source:tofugu
{{c1::推し活}}、楽しい。	{{c1::おしかつ}}、たのしい。	Fan activities are fun.	[sound:881b460a4735.mp3]	register:slang domain:gen-z module:08-slang point:youth-slang complexity:intro frequency:top1k source:tofugu
{{c1::クソゲー}}だよ。	{{c1::くそげー}}だよ。	It's a crappy game.	[sound:baf4038d9107.mp3]	register:slang domain:gen-z module:08-slang point:youth-slang complexity:intro source:tofugu
{{c1::ダル}}、勉強したくない。	{{c1::だる}}、べんきょうしたくない。	I don't wanna study.	[sound:6d821794fb2f.mp3]	register:slang domain:gen-z module:08-slang point:youth-slang complexity:intro frequency:top1k source:tofugu
{{c1::めっちゃ}}怖い。	{{c1::めっちゃ}}こわい。	That's super scary.	[sound:587dac9be06f.mp3]	register:slang domain:gen-z module:08-slang point:youth-slang complexity:intro frequency:top5k source:tofugu
{{c1::インスタ映え}}、狙ってる。	{{c1::いんすたばえ}}、ねらってる。	Going for Insta-worthy shots.	[sound:08c1d22d74e7.mp3]	register:slang domain:gen-z module:08-slang point:youth-slang complexity:intro source:tofugu
{{c1::推し事}}、頑張ってる。	{{c1::おしごと}}、がんばってる。	Working hard on fan activities.	[sound:5df1ba8eb525.mp3]	register:slang domain:gen-z module:08-slang point:youth-slang complexity:intro frequency:top5k source:tofugu
