#separator:tab
#html:true
#columns:Audio	Prompt	Answer	Reading	EN	Tags
#notetype:Dictation
#deck:Japanese Grammar::03 - N3 Grammar::Dictation

[sound:d9047be5782a.mp3]	彼___この仕事をせぬ	彼はこの仕事をせぬ	かれはこのしごとをせぬ	He shall not do this work. (Classical negation)	module:03-n3 point:べき complexity:intro frequency:top5k source:imabi complexity:standard jlpt:n3 source:shin-kanzen
[sound:5f5389920648.mp3]	我輩___これを為さん	我輩はこれを為さん	わがはいはこれをなさん	We shall do this. (Classical volitional)	module:03-n3 point:べき complexity:intro frequency:low source:imabi complexity:standard jlpt:n3 source:shin-kanzen
[sound:434b63631d27.mp3]	学べし	学べし	まなべし	One must/should learn.	module:03-n3 point:べき complexity:intro frequency:top10k source:imabi complexity:standard jlpt:n3 source:shin-kanzen
[sound:2d2e34c7b342.mp3]	行くべきか	行くべきか	いくべきか	Should I go? (Classical rhetorical)	module:03-n3 point:べき complexity:intro frequency:top1k source:imabi complexity:standard jlpt:n3 source:shin-kanzen
[sound:e904fd8d8d08.mp3]	するべ___ず	するべからず	するべからず	Must not do. (Classical prohibition)	module:03-n3 point:べき complexity:intro source:imabi complexity:standard jlpt:n3 source:shin-kanzen
[sound:594c408d0af1.mp3]	彼は今すぐ謝る___。	彼は今すぐ謝るべきだ。	かれはいますぐあやまるべきだ。	He should apologize right now.	module:03-n3 jlpt:n3 point:べき complexity:standard source:shin-kanzen scaffold:pending-audio
[sound:3258f3176a39.mp3]	それ故___行かぬ	それ故に行かぬ	それゆえにいかぬ	Therefore, do not go. (Classical)	module:03-n3 point:べき complexity:intro frequency:low source:imabi complexity:standard jlpt:n3 source:shin-kanzen
[sound:1caa32ce4e5d.mp3]	もっと勉強する___。	もっと勉強するべきだった。	もっとべんきょうするべきだった。	I should have studied more.	module:03-n3 jlpt:n3 point:べき complexity:standard source:shin-kanzen scaffold:pending-audio
[sound:ef594bfb5311.mp3]	すべき	すべき	すべき	Should (strong obligation)	module:03-n3 point:べき complexity:intro source:curated-jpgram complexity:standard jlpt:n3 source:shin-kanzen
[sound:e382e8be9a15.mp3]	___きます	できます	できます	Can (ability)	module:03-n3 point:べき complexity:intro source:curated-jpgram complexity:standard jlpt:n3 source:shin-kanzen
[sound:ca7e82a37528.mp3]	てもいい___す	てもいいです	てもいいです	May (permission)	module:03-n3 point:べき complexity:intro source:curated-jpgram complexity:standard jlpt:n3 source:shin-kanzen
[sound:8fb892cf517b.mp3]	つもり___す	つもりです	つもりです	Will (intention)	module:03-n3 point:べき complexity:intro source:curated-jpgram complexity:standard jlpt:n3 source:shin-kanzen
[sound:888e767b758b.mp3]	なければなりません	なければなりません	なければなりません	Must (necessity)	module:03-n3 point:べき complexity:intro source:curated-jpgram complexity:standard jlpt:n3 source:shin-kanzen
[sound:aa758a018c0f.mp3]	だろう	だろう	だろう	Will (prediction)	module:03-n3 point:べき complexity:intro source:curated-jpgram complexity:standard jlpt:n3 source:shin-kanzen
[sound:89f2b686561f.mp3]	かもしれません	かもしれません	かもしれません	Might (possibility)	module:03-n3 point:べき complexity:intro source:curated-jpgram complexity:standard jlpt:n3 source:shin-kanzen
[sound:4249bdc7da22.mp3]	よう___する	ようにする	ようにする	Try to (effort/intention)	module:03-n3 point:べき complexity:intro source:curated-jpgram complexity:standard jlpt:n3 source:shin-kanzen
