#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#deck:Japanese Grammar::12 - BEYOND-N1::Recognition
#
重要な役割を担っている技術は、エネルギー分野において急速に進化している。	じゅうようなやくわりをになっているぎじゅつは、えねるぎーぶんやにおいてきゅうそくにしんかしている。	Important technology is rapidly evolving in the energy sector.	Domain specification	～において	Formal context specification	Domain marker	～においても (also in)	[sound:d306391e51a8.mp3]	module:12-beyond-n1 jlpt:beyond point:academic-jargon complexity:advanced frequency:low source:dictionary-of-jp-grammar
今後の研究においては、より詳細な分析が必要である。	こんごのけんきゅうにおいては、よりしょうさいなぶんせきがひつようである。	In future research, more detailed analysis is necessary.	Conditional domain	～においては	Setting conditions for discussion	Future scope	～においても (additionally)	[sound:41ae82f99dc6.mp3]	module:12-beyond-n1 jlpt:beyond point:academic-jargon complexity:standard frequency:low source:dictionary-of-jp-grammar
国際政治においても、このトレンドが見られる。	こくさいせいじにおいても、このとれんどがみられる。	This trend is also observed in international politics.	Domain addition	～においても	Expanding across domains	Multiple domains	～においては (only)	[sound:c338a8ddb260.mp3]	module:12-beyond-n1 jlpt:beyond point:academic-jargon complexity:standard frequency:top5k source:dictionary-of-jp-grammar
経済学の分野においては、複数のアプローチが存在する。	けいざいがくのぶんやにおいては、ふくすうのあぷろーちがそんざいする。	In economics, multiple approaches exist.	Field specification	～においては	Academic subdomain focus	Disciplinary scope	～において (general)	[sound:c66c473c1dd3.mp3]	module:12-beyond-n1 jlpt:beyond point:academic-jargon complexity:standard frequency:low source:dictionary-of-jp-grammar
実験室においても、同様の結果が得られた。	じっけんしつにおいても、どうようのけっかがえられた。	Similar results were obtained in the lab as well.	Lab verification	～においても	Reinforcing across contexts	Lab confirmation	～において (single)	[sound:11c7569f077a.mp3]	module:12-beyond-n1 jlpt:beyond point:academic-jargon complexity:standard frequency:top10k source:dictionary-of-jp-grammar
気候変動に関する研究が急増している。	きこうへんどうにかんするけんきゅうがきゅうぞうしている。	Research on climate change is increasing rapidly.	Topic specification	～に関する	Introducing subject matter	Topic marker	～について (similar)	[sound:f830de1255fc.mp3]	module:12-beyond-n1 jlpt:beyond point:academic-jargon complexity:standard frequency:low source:dictionary-of-jp-grammar
政策に関してのご意見をお聞かせください。	せいさくにかんしてのごいけんをおきかせください。	Please share your thoughts regarding this policy.	Formal policy question	～に関してのご	Polite request format	Policy discussion	～に関する (standard)	[sound:6c97bb7c5aad.mp3]	module:12-beyond-n1 jlpt:beyond point:academic-jargon complexity:standard frequency:low source:dictionary-of-jp-grammar
予算に関しては、別途の会議で決定される。	よさんにかんしては、べっとのかいぎでけっていされる。	Budget will be decided in a separate meeting.	Topic specification	～に関しては	Setting aside specific aspect	Budget decision	～に関して (standard)	[sound:e9dde2ca67aa.mp3]	module:12-beyond-n1 jlpt:beyond point:academic-jargon complexity:standard frequency:top10k source:dictionary-of-jp-grammar
健康に関する情報提供は極めて重要である。	けんこうにかんするじょうほうていきょうはきわめてじゅうようである。	Providing health information is extremely important.	Information domain	～に関する	Knowledge domain specification	Health info	～について (conversational)	[sound:cf823b3788bd.mp3]	module:12-beyond-n1 jlpt:beyond point:academic-jargon complexity:standard frequency:low source:dictionary-of-jp-grammar
環境問題に関して、国家は責任を負う。	かんきょうもんだいにかんして、こっかはせきにんをおう。	Regarding environment, the state has responsibility.	Responsibility domain	～に関して	Stating obligations formally	Responsibility	～に関する (nominalized)	[sound:337667424a47.mp3]	module:12-beyond-n1 jlpt:beyond point:academic-jargon complexity:standard frequency:top10k source:dictionary-of-jp-grammar
領土問題をめぐる対立が続いている。	りょうどもんだいをめぐるたいりつがつづいている。	Conflict over territorial issues continues.	Dispute/controversy	～をめぐる	Central dispute point	Territory conflict	～に関する (neutral)	[sound:92e4ff4638a5.mp3]	module:12-beyond-n1 jlpt:beyond point:academic-jargon complexity:standard frequency:low source:dictionary-of-jp-grammar
新しい法案をめぐって、議論が白熱している。	あたらしいほうあんをめぐって、ぎろんがはくねつしている。	Heated debate surrounds the new bill.	Active debate	～をめぐって	Discussion center point	Legislative debate	～についての (discussion)	[sound:28834925a31f.mp3]	module:12-beyond-n1 jlpt:beyond point:academic-jargon complexity:standard frequency:low source:dictionary-of-jp-grammar
