#separator:tab
#html:true
#columns:Audio	Transcript	Reading	EN	Hint	Tags
#notetype:Listening
#deck:Japanese Grammar::00 - Foundation::Listening
#
[sound:37703e1c6341.mp3]	私は学生だ。	わたしはがくせいだ。	I'm a student.	X is Y — most basic form	module:00-foundation jlpt:n5 register:casual point:copula-da pos:aux point:copula complexity:intro frequency:top1k source:curated-jpgram point:module-listening_listening complexity:standard
[sound:3444a0783326.mp3]	彼女は医者だ。	かのじょはいしゃだ。	She's a doctor.	X is Y — most basic form	module:00-foundation jlpt:n5 register:casual point:copula-da pos:aux point:copula complexity:intro frequency:top5k source:curated-jpgram point:module-listening_listening complexity:standard
[sound:e6777fbc134c.mp3]	これは本だ。	これはほんだ。	This is a book.	X is Y — most basic form	module:00-foundation jlpt:n5 register:casual point:copula-da pos:aux point:copula complexity:intro frequency:top1k source:curated-jpgram point:module-listening_listening complexity:standard
[sound:a81c44f86c62.mp3]	僕は医者じゃない。	ぼくはいしゃじゃない。	I'm not a doctor.	X is NOT Y — casual neg	module:00-foundation jlpt:n5 register:casual point:copula-janai pos:aux point:copula complexity:intro frequency:top5k source:curated-jpgram point:module-listening_listening complexity:standard
[sound:e1132a63f367.mp3]	田中さんは学生じゃない。	たなかさんはがくせいじゃない。	Mr. Tanaka is not a student.	X is NOT Y — casual neg	module:00-foundation jlpt:n5 register:casual point:copula-janai pos:aux point:copula complexity:intro frequency:top10k source:curated-jpgram point:module-listening_listening complexity:standard
[sound:c71de8569849.mp3]	これは猫ではない。	これはねこではない。	This is not a cat.	X is NOT Y — more formal variant	module:00-foundation jlpt:n5 register:casual point:copula-denai pos:aux point:copula complexity:intro frequency:top1k source:curated-jpgram point:module-listening_listening complexity:standard
[sound:1f0f74cf3efc.mp3]	私は学生だった。	わたしはがくせいだった。	I was a student.	X was Y — basic past	module:00-foundation jlpt:n5 register:casual point:copula-datta pos:aux point:copula complexity:intro frequency:top1k source:curated-jpgram point:module-listening_listening complexity:standard
[sound:e209f2a0e114.mp3]	彼は有名だった。	かれはゆうめいだった。	He was famous.	X was Y — basic past	module:00-foundation jlpt:n5 register:casual point:copula-datta pos:aux point:copula complexity:intro frequency:top5k source:curated-jpgram point:module-listening_listening complexity:standard
[sound:d4bf8b1abda9.mp3]	1つください。	ひとつください。	Give me 1 (objects).	default for most things	module:00-foundation jlpt:n5 point:counters complexity:intro source:curated-jpgram point:module-listening_listening complexity:standard
[sound:fdc0fee18f84.mp3]	2つください。	ふたつください。	Give me 2 (objects).	default for most things	module:00-foundation jlpt:n5 point:counters complexity:intro source:curated-jpgram point:module-listening_listening complexity:standard
[sound:4b7f2dadec29.mp3]	3つください。	みっつください。	Give me 3 (objects).	default for most things	module:00-foundation jlpt:n5 point:counters complexity:intro source:curated-jpgram point:module-listening_listening complexity:standard
[sound:4b68bd39367a.mp3]	4つください。	よっつください。	Give me 4 (objects).	default for most things	module:00-foundation jlpt:n5 point:counters complexity:intro source:curated-jpgram point:module-listening_listening complexity:standard
[sound:2037a7509df3.mp3]	5つください。	いつつください。	Give me 5 (objects).	default for most things	module:00-foundation jlpt:n5 point:counters complexity:intro source:curated-jpgram point:module-listening_listening complexity:standard
[sound:4616e1499f9d.mp3]	6つください。	むっつください。	Give me 6 (objects).	default for most things	module:00-foundation jlpt:n5 point:counters complexity:intro source:curated-jpgram point:module-listening_listening complexity:standard
