#separator:tab
#html:true
#columns:JP	OptionA	OptionB	Answer	Why	Tip	Audio	Tags
#notetype:Contrast
#deck:Japanese Grammar::03 - N3 Grammar::Contrast

あなたのせいで / おかげで、試験に落ちた。	せいで	おかげで	せいで	せいで = blame; おかげで = gratitude (wrong tone)	Negative vs positive cause	[sound:67c3702c9424.mp3]	module:03-n3 jlpt:n3 point:せいで complexity:standard confusable-with:おかげで frequency:top5k source:shin-kanzen
先生の指導のおかげで / せいで、成績が上がった。	おかげで	せいで	おかげで	おかげで = gratitude; せいで = blame (wrong)	Positive result from teacher	[sound:408ecf067cb7.mp3]	module:03-n3 jlpt:n3 point:せいで complexity:standard confusable-with:せいで frequency:top10k source:shin-kanzen
悪い天気のせいで / おかげで、試合が中止になった。	せいで	おかげで	せいで	せいで = blame weather; おかげで = doesn't fit negative	Negative weather result	[sound:ba59962ad4eb.mp3]	module:03-n3 jlpt:n3 point:せいで complexity:standard confusable-with:おかげで frequency:top10k source:shin-kanzen
皆の助けがあったおかげで / せいで、やり遂げた。	おかげで	せいで	おかげで	おかげで = gratitude; せいで = blame (wrong)	Gratitude for help	[sound:7e40508f51cf.mp3]	module:03-n3 jlpt:n3 point:せいで complexity:standard confusable-with:せいで frequency:low source:shin-kanzen
渋滞のせいで / おかげで、遅刻してしまった。	せいで	おかげで	せいで	せいで = blame traffic; おかげで = doesn't fit	Traffic blame	[sound:91e52042eb9f.mp3]	module:03-n3 jlpt:n3 point:せいで complexity:standard confusable-with:おかげで frequency:top10k source:shin-kanzen
友人の励ましがあったから / ___、頑張った。	おかげで	だから	おかげで	おかげで = gratitude; だから = neutral cause	Personal encouragement gratitude	[sound:df03a88c1d21.mp3]	module:03-n3 jlpt:n3 point:せいで complexity:standard confusable-with:だから frequency:top10k source:shin-kanzen
親の支援のおかげで / せいで、大学に行けた。	おかげで	せいで	おかげで	おかげで = grateful; せいで = blame (wrong)	Parent support gratitude	[sound:5c225b5522c6.mp3]	module:03-n3 jlpt:n3 point:せいで complexity:standard confusable-with:せいで frequency:top5k source:shin-kanzen
兄の失敗のせいで / おかげで、学んだ。	せいで	おかげで	せいで	せいで = blame brother; おかげで = wrong tone	Learning from brother's mistake	[sound:3cc4e44d1213.mp3]	module:03-n3 jlpt:n3 point:せいで complexity:standard confusable-with:おかげで frequency:top10k source:shin-kanzen
家族のために / ように、毎日働く。	ために	ように	ために	ために = for family benefit; ように = training to do (wrong)	Purpose: serving others	[sound:09a0046bde9d.mp3]	module:03-n3 jlpt:n3 point:せいで complexity:standard confusable-with:ように frequency:top1k source:shin-kanzen
将来のために / ように、勉強する。	ために	ように	ために	ために = preparation; ように = habituation (less fit)	Future preparation	[sound:4357103cedc3.mp3]	module:03-n3 jlpt:n3 point:せいで complexity:standard confusable-with:ように frequency:top5k source:shin-kanzen
毎日走る / ___走る、体が健康になった。	ように	ために	ように	ように = regular practice goal; ために = doesn't fit	Habit goal achievement	[sound:e99737326abd.mp3]	module:03-n3 jlpt:n3 point:せいで complexity:standard confusable-with:ために frequency:top10k source:shin-kanzen
規則のために / ように、髪を切った。	ために	ように	ために	ために = rule requires; ように = doesn't fit rule	Rule compliance	[sound:86cf19a93ea0.mp3]	module:03-n3 jlpt:n3 point:せいで complexity:standard confusable-with:ように frequency:top5k source:shin-kanzen
目標のために / ように、練習している。	ために	ように	ために	ために = working toward goal; ように = habit	Goal pursuit	[sound:e229b53d2f61.mp3]	module:03-n3 jlpt:n3 point:せいで complexity:standard confusable-with:ように frequency:top10k source:shin-kanzen
経験者だけに / ばかりに、正しい判断ができた。	だけに	ばかりに	だけに	だけに = positive; ばかりに = unfortunate (wrong)	Experience advantage	[sound:7788fc72309f.mp3]	module:03-n3 jlpt:n3 point:せいで complexity:standard confusable-with:ばかりに frequency:top10k source:shin-kanzen
高い値段だけに / ばかりに、効果がない。	ばかりに	だけに	ばかりに	ばかりに = only negative quality; だけに = doesn't fit	Expensive but useless	[sound:7b1d0301e460.mp3]	module:03-n3 jlpt:n3 point:せいで complexity:standard confusable-with:だけに frequency:top10k source:shin-kanzen
専門家だけに / ばかりに、理解できる。	だけに	ばかりに	だけに	だけに = expertise advantage; ばかりに = unfortunate	Expert understanding	[sound:900d36910227.mp3]	module:03-n3 jlpt:n3 point:せいで complexity:standard confusable-with:ばかりに frequency:top10k source:shin-kanzen
新しいばかりに / だけに、使い方が分からない。	ばかりに	だけに	ばかりに	ばかりに = newness causes confusion; だけに = advantage	Newness disadvantage	[sound:a49efbb592b7.mp3]	module:03-n3 jlpt:n3 point:せいで complexity:standard confusable-with:だけに frequency:top10k source:shin-kanzen
若いだけに / ばかりに、経験が不足している。	ばかりに	だけに	ばかりに	ばかりに = youth leads to lack; だけに = advantage	Youth disadvantage	[sound:299b269c545e.mp3]	module:03-n3 jlpt:n3 point:せいで complexity:standard confusable-with:だけに frequency:top10k source:shin-kanzen
有名なばかりに / だけに、批判が多い。	ばかりに	だけに	ばかりに	ばかりに = fame invites criticism; だけに = advantage	Fame and criticism	[sound:2baa361dd9c3.mp3]	module:03-n3 jlpt:n3 point:せいで complexity:standard confusable-with:だけに frequency:top10k source:shin-kanzen
雨が降ったので / から / ため、試合は中止になった。	ので	から	ので	ので = factual explanation (formal); から = reason; ため = doesn't flow	Weather explanation	[sound:38795b8f0db1.mp3]	module:03-n3 jlpt:n3 point:せいで complexity:standard confusable-with:から frequency:top10k source:shin-kanzen
知らなかったから / ので、失敗した。	から	ので	から	から = speaker's reason; ので = objective reason	Personal knowledge gap	[sound:9a3ae67b9fc2.mp3]	module:03-n3 jlpt:n3 point:せいで complexity:standard confusable-with:ので frequency:top5k source:shin-kanzen
忙しい / ___、手伝えません。	ので	から	ので	ので = polite explanation; から = less formal here	Polite refusal	[sound:f8ee68b65c42.mp3]	module:03-n3 jlpt:n3 point:せいで complexity:standard confusable-with:から frequency:top1k source:shin-kanzen
値段が安いから / ので、買いました。	から	ので	から	から = personal reason; ので = objective reason	Purchase decision	[sound:f07b18fa9025.mp3]	module:03-n3 jlpt:n3 point:せいで complexity:standard confusable-with:ので frequency:top5k source:shin-kanzen
体調が悪かったから / ので、欠席した。	から	ので	から	から = personal reason; ので = more objective	Personal absence reason	[sound:12167889ea6e.mp3]	module:03-n3 jlpt:n3 point:せいで complexity:standard confusable-with:ので frequency:top10k source:shin-kanzen
駅が近いから / ので、便利です。	から	ので	から	から = reason; ので = objective fact	Location advantage	[sound:64d3635cb702.mp3]	module:03-n3 jlpt:n3 point:せいで complexity:standard confusable-with:ので frequency:top1k source:shin-kanzen
