#separator:tab
#html:true
#columns:JP	OptionA	OptionB	Answer	Why	Tip	Audio	Tags
#notetype:Contrast
#deck:Japanese Grammar::04 - N2 Grammar::Contrast

長く悩んだ___、退職を決めた。	末に	結果	あげく	あげく = after prolonged action (often negative)	After prolonging worry, decided to resign	[sound:0c2dab1cf07b.mp3]	module:04-n2 jlpt:n2 register:formal point:あげく pos:expr frequency:low complexity:standard source:shin-kanzen
あれこれ試した___失敗した。	末に	結果	あげく	あげく = after attempts/efforts (futile)	After various attempts, failed	[sound:78e7b6ef241e.mp3]	module:04-n2 jlpt:n2 register:formal point:あげく pos:expr frequency:top10k complexity:standard source:shin-kanzen
苦労の___成功した。	あげく	結果	末に	末に = after long period/process	Succeeded after struggle	[sound:ad4bc3130c77.mp3]	module:04-n2 jlpt:n2 register:formal point:あげく pos:expr frequency:top10k complexity:intro source:shin-kanzen
長年の研究の___発見した。	あげく	結果	末に	末に = after years/extended time	Discovered after years of research	[sound:de7ef5d47cba.mp3]	module:04-n2 jlpt:n2 register:formal point:あげく pos:expr frequency:top10k complexity:standard source:shin-kanzen
努力の___、合格した。	あげく	末に	結果	結果 = as a consequence/result of	As a result of effort, passed	[sound:0ebc3cc7f7a6.mp3]	module:04-n2 jlpt:n2 register:formal point:あげく pos:expr frequency:top10k complexity:intro source:shin-kanzen
その決定の___、問題が生じた。	あげく	末に	結果	結果 = outcome/consequence	That decision resulted in problems	[sound:b3011ecf1ee0.mp3]	module:04-n2 jlpt:n2 register:formal point:あげく pos:expr frequency:top10k complexity:standard source:shin-kanzen
何度も失敗を繰り返した___諦めた。	末に	結果	あげく	あげく = after repeated failures	Gave up after repeated failures	[sound:03e6d1bf1aef.mp3]	module:04-n2 jlpt:n2 register:formal point:あげく pos:expr frequency:low complexity:standard source:shin-kanzen
検討の___この計画を中止する。	あげく	結果	末に	末に = after deliberation	After review, canceling this plan	[sound:6a456416a008.mp3]	module:04-n2 jlpt:n2 register:formal point:あげく pos:expr frequency:top10k complexity:standard source:shin-kanzen
その___として、売上が増加した。	あげく	末に	結果	結果 = direct outcome	As a result, sales increased	[sound:a77cdf6ba4bb.mp3]	module:04-n2 jlpt:n2 register:formal point:あげく pos:expr frequency:low complexity:standard source:shin-kanzen
試行錯誤の___、ついに解答を見つけた。	末に	結果	あげく	あげく = after trial and error	Found answer after trial and error	[sound:c7ee095b9de1.mp3]	module:04-n2 jlpt:n2 register:formal point:あげく pos:expr frequency:low complexity:standard source:shin-kanzen
