#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#deck:Japanese Grammar::05 - N1 Grammar::Recognition
#
諸種の法律が改正されるべきである。	しょしゅのほうりつがかいせいされるべきである。	Various laws should be amended.	Legal revision	諸-	Multiple laws	Law context	各種の	[sound:265babd52d91.mp3]	module:05-n1 jlpt:n1 point:n1-prefixes-counters complexity:standard frequency:low
御状況を拝察いたします。	ごじょうきょうをはいさついたします。	I humbly understand your situation.	Respectful language	御-	Deferential prefix	Formality context	お	[sound:e65bbfda67bf.mp3]	module:05-n1 jlpt:n1 point:n1-prefixes-counters complexity:intro frequency:top10k
真摯な対応をお願いします。	しんしなたいおうをおねがいします。	I request a sincere response.	Earnest request	真-	Authenticity	Seriousness context	本当の	[sound:a71abdae6b22.mp3]	module:05-n1 jlpt:n1 point:n1-prefixes-counters complexity:standard frequency:low
半分以上の賛成を得た。	はんぶんいじょうのさんせいをえた。	Obtained more than half approval.	Majority support	半-	Proportion	Vote context	一部	[sound:a0dc0094ab62.mp3]	module:05-n1 jlpt:n1 point:n1-prefixes-counters complexity:intro frequency:top10k
書類は五十枚必要です。	しょるいはごじゅうまいひつようです。	I need fifty sheets of documents.	Paper count	枚	Flat object	Documentation context	こ	[sound:6e033f553d68.mp3]	module:05-n1 jlpt:n1 point:n1-prefixes-counters complexity:intro frequency:top10k
薬は一粒ずつ飲んでください。	くすりはいちりゅうずつのんでください。	Take the medicine one tablet at a time.	Dosage instruction	粒	Small particle	Medicine context	個	[sound:ca9285c9d518.mp3]	module:05-n1 jlpt:n1 point:n1-prefixes-counters complexity:standard frequency:low
針は三本用意しました。	はりはさんぼんようういしました。	I prepared three needles.	Linear object	本	Thin item	Sewing context	こ	[sound:0447955bf310.mp3]	module:05-n1 jlpt:n1 point:n1-prefixes-counters complexity:intro frequency:top10k
家は十軒並んでいる。	いえはじゅっけんならんでいる。	Ten houses stand in a row.	Structure count	軒	Building	Architecture context	棟	[sound:e2bff84661a2.mp3]	module:05-n1 jlpt:n1 point:n1-prefixes-counters complexity:intro frequency:low
靴は二足で一セットです。	くつはにそくでいちせっとです。	Two shoes make one set.	Paired item	足	Pair count	Footwear context	パック	[sound:97202342e5fa.mp3]	module:05-n1 jlpt:n1 point:n1-prefixes-counters complexity:intro frequency:top10k
新しい建築物が三個できた。	あたらしいけんちくぶつがさんこできた。	Three new structures were built.	General count	個	Object unit	Development context	つ	[sound:3c486148a7b6.mp3]	module:05-n1 jlpt:n1 point:n1-prefixes-counters complexity:standard frequency:top10k
全論文は八編収録されている。	ぜんろんぶんははっぺんしゅうろくされている。	All papers are included; eight collected.	Literary collection	編	Work unit	Collection context	本	[sound:683f5e7fc409.mp3]	module:05-n1 jlpt:n1 point:n1-prefixes-counters complexity:standard frequency:top10k
