#separator:tab
#html:true
#columns:Prompt	Target	Reading	Sample	Why	Audio	Tags
#notetype:Production
#deck:Japanese Grammar::03 - N3 Grammar::Production
#
What does it mean when something just happened?	ーたばかり	かれはきたばかりだ。	彼は来たばかりだ。	Just arrived (recent completion)	[sound:36a45750ad25.mp3]	module:03-n3 jlpt:n3 point:bakari-extensions complexity:standard frequency:top5k frequency:top10k complexity:intro source:shin-kanzen
Complete: 'I just finished ___'	〜ばかりだ	しごとをおえたばかりだ。	仕事を終えたばかりだ。	To mark something as very recent	[sound:cd314ce43661.mp3]	module:03-n3 jlpt:n3 point:bakari-extensions complexity:standard frequency:top5k frequency:top1k complexity:intro source:shin-kanzen
Which form emphasizes a solitary reason?	ーばかりに	こどもだけに、ちゅういがひつようだ。	子どもだけに、注意が必要だ。	Emphasizes the sole or primary reason	[sound:6e8cd7be157b.mp3]	module:03-n3 jlpt:n3 point:bakari-extensions complexity:standard frequency:top5k source:shin-kanzen
What structure describes doing something repeatedly?	ーてばかりいる	かれはあそんでばかりいる。	彼は遊んでばかりいる。	Describes habitual or exclusive action	[sound:cbbf705ee980.mp3]	module:03-n3 jlpt:n3 point:bakari-extensions complexity:standard frequency:top5k complexity:intro source:shin-kanzen
Complete: 'He does nothing but ___'	ーてばかりいる	あにはしごとをしてばかりいて、あそばない。	兄は仕事をしてばかりいて、遊ばない。	To express exclusive focus on one action	[sound:0a037c9266ce.mp3]	module:03-n3 jlpt:n3 point:bakari-extensions complexity:standard frequency:top5k frequency:top1k source:shin-kanzen
What describes being on the verge of something?	ーんばかり	いまにもこわれんばかりのふるいいえ。	今にも壊れんばかりの古い家。	Expresses imminent or near-certain state	[sound:80a6ecf73a50.mp3]	module:03-n3 jlpt:n3 point:bakari-extensions complexity:standard frequency:top5k frequency:top10k source:shin-kanzen
Complete: '___に雨が降ってきた' (consequence)	ーたばかりに	ちょうどいえをでたばかりに、あめがふってきた。	ちょうど家を出たばかりに、雨が降ってきた。	Marks unfortunate timing or consequence	[sound:d8cf49fb5c85.mp3]	module:03-n3 jlpt:n3 point:bakari-extensions complexity:standard frequency:top5k frequency:top10k source:shin-kanzen
Which ばかり meaning is 'exclusive' or 'only'?	ばかり	しっぱいばかりくりかえしている。	失敗ばかり繰り返している。	Emphasizes exclusive focus without variation	[sound:5d0adeb8f17f.mp3]	module:03-n3 jlpt:n3 point:bakari-extensions complexity:standard frequency:top5k source:shin-kanzen
Fill: 'Only words without ___'	ばかり (exclusive)	ことばばかりでこうどうがない。	言葉ばかりで行動がない。	Words alone, no action follows	[sound:74b7d455b372.mp3]	module:03-n3 jlpt:n3 point:bakari-extensions complexity:standard frequency:top5k frequency:top10k complexity:intro source:shin-kanzen
What structure means 'repeated failures'?	ばかり (repetition)	じかんばかりへってしまう。	時間ばかり経ってしまう。	Emphasizes repetitive or exclusive occurrence	[sound:08f4150c4555.mp3]	module:03-n3 jlpt:n3 point:bakari-extensions complexity:standard frequency:top5k frequency:top1k complexity:intro source:shin-kanzen
