#separator:tab
#html:true
#columns:JP	OptionA	OptionB	Answer	Why	Tip	Audio	Tags
#notetype:Contrast
#deck:Japanese Grammar::03 - N3 Grammar::Contrast

人は誰もが死ぬ___。	ことだ	ものだ	ものだ	ものだ = inevitable fact/natural; ことだ = literary 'one should'	Fact vs norm	[sound:e00340affea0.mp3]	module:03-n3 jlpt:n3 point:ものだ complexity:intro confusable-with:ことだ frequency:top1k source:shin-kanzen
子供の頃、毎日遊ぶ___。	ことだった	ものだった	ものだった	ものだった = nostalgic habit; ことだった = not natural here	Nostalgia vs prescription	[sound:cb0bbc98f9a7.mp3]	module:03-n3 jlpt:n3 point:ものだ complexity:intro confusable-with:ことだった frequency:top1k source:shin-kanzen
兄さんが来たので、___。	ことだ	わけだ	わけだ	わけだ = 'so that's why'; ことだ = doesn't fit	Explanation vs prescription	[sound:b58ff9c1919a.mp3]	module:03-n3 jlpt:n3 point:ものだ complexity:intro confusable-with:ことだ frequency:top10k source:shin-kanzen
勉強する___。	ことだ	ものではない	ことだ	ことだ = literary prescription; ものではない = negative propriety	Positive vs negative norm	[sound:51eba48453fc.mp3]	module:03-n3 jlpt:n3 point:ものだ complexity:intro confusable-with:ものではない frequency:top1k source:shin-kanzen
季節になると蝉が鳴く___。	ことだ	ものだ	ものだ	ものだ = natural cycle; ことだ = literary prescription	Nature vs norm	[sound:e61156bda66d.mp3]	module:03-n3 jlpt:n3 point:ものだ complexity:standard confusable-with:ことだ frequency:top5k source:shin-kanzen
毎日運動する___。	ことにした	ようにした	ことにした	ことにした = decision; ようにした = aimed outcome/habit change	Decision vs habit goal	[sound:bbedb04d2b2c.mp3]	module:03-n3 jlpt:n3 point:ものだ complexity:intro confusable-with:ようにした frequency:top5k source:shin-kanzen
明日から禁煙する___。	ことにします	ようにします	ことにします	ことにします = personal decision; ようにします = cultivating habit	Resolution vs practice	[sound:5a17615691af.mp3]	module:03-n3 jlpt:n3 point:ものだ complexity:intro confusable-with:ようにします frequency:top10k source:shin-kanzen
毎月貯金する___。	ことにしています	ようにしています	ことにしています	ことにしています = ongoing decision; ようにしています = trained practice	Deliberate vs habitual	[sound:cff54f8fd702.mp3]	module:03-n3 jlpt:n3 point:ものだ complexity:intro confusable-with:ようにしています frequency:top10k source:shin-kanzen
時々居眠りする___。	ことがある	ものだ	ことがある	ことがある = occasional occurrence; ものだ = habitual pattern	Rare vs routine	[sound:8d069f041f31.mp3]	module:03-n3 jlpt:n3 point:ものだ complexity:intro confusable-with:ものだ frequency:top10k source:shin-kanzen
冬に雪が降る___。	ことがある	ものだ	ものだ	ものだ = seasonal pattern; ことがある = sporadic	Seasonal norm vs occasional	[sound:1f04bc8e1e06.mp3]	module:03-n3 jlpt:n3 point:ものだ complexity:intro confusable-with:ことがある frequency:top1k source:shin-kanzen
何という不思議な___。	ことか	ものか	ことか	ことか = exclamation; ものか = emphatic denial	Wonder vs rejection	[sound:0d69d629482f.mp3]	module:03-n3 jlpt:n3 point:ものだ complexity:standard confusable-with:ものか frequency:top10k source:shin-kanzen
誰が信じる___。	ことか	ものか	ものか	ものか = rhetorical denial; ことか = not natural	Denial vs wonder	[sound:9f37f396d050.mp3]	module:03-n3 jlpt:n3 point:ものだ complexity:intro confusable-with:ことか frequency:top10k source:shin-kanzen
安定のために / ように、保守的になった。	ために	ように	ために	ために = purpose/goal; ように = habit change	Conscious vs gradual	[sound:5e1c868d4cc1.mp3]	module:03-n3 jlpt:n3 point:ものだ complexity:standard confusable-with:ように frequency:low source:shin-kanzen
毎朝走る / ように走る、体が良くなった。	ように	ために	ように	ように = trained habit; ために = purpose	Habit vs purpose	[sound:7e6254ad6315.mp3]	module:03-n3 jlpt:n3 point:ものだ complexity:standard confusable-with:ために frequency:top1k source:shin-kanzen
何度も失敗したものだ。	ことだ	ものだ	ものだ	ものだ = nostalgic pattern; ことだ = odd	Nostalgic habit	[sound:34ea21a535f7.mp3]	module:03-n3 jlpt:n3 point:ものだ complexity:intro confusable-with:ことだ frequency:top10k source:shin-kanzen
会社に行く前、コーヒーを飲む___。	ことにしている	ものだ	ことにしている	ことにしている = deliberate habit; ものだ = natural pattern	Deliberate vs natural	[sound:e1acc5f380d7.mp3]	module:03-n3 jlpt:n3 point:ものだ complexity:standard confusable-with:ものだ frequency:top1k source:shin-kanzen
彼は毎日ジョギングする___。	ことにしている	ものだ	ものだ	ものだ = established habit; ことにしている = current decision	Natural vs deliberate	[sound:ee8c4aec7b68.mp3]	module:03-n3 jlpt:n3 point:ものだ complexity:standard confusable-with:ことにしている frequency:top5k source:shin-kanzen
子供だった___、分からなかった。	ことだから	ものだから	ものだから	ものだから = natural reason; ことだから = rare	Natural reason	[sound:77176497b8dc.mp3]	module:03-n3 jlpt:n3 point:ものだ complexity:standard confusable-with:ことだから frequency:top10k source:shin-kanzen
忙しい___、手伝えない。	ものだから	ことから	ものだから	ものだから = natural reason; ことから = not natural	Natural consequence	[sound:b308bbcf68b9.mp3]	module:03-n3 jlpt:n3 point:ものだ complexity:intro confusable-with:ことから frequency:top1k source:shin-kanzen
父が教えた歌、今も覚えている___。	ことだ	ものだ	ものだ	ものだ = lingering memory; ことだ = odd	Memory persistence	[sound:373178f1c841.mp3]	module:03-n3 jlpt:n3 point:ものだ complexity:standard confusable-with:ことだ frequency:low source:shin-kanzen
