#separator:tab
#html:true
#columns:JP	OptionA	OptionB	Answer	Why	Tip	Audio	Tags
#notetype:Contrast
#
#deck:Japanese Grammar (Strict)::04 - N2 Grammar::Contrast

経済が回復すると見られている。	と見られている	と思われている	と見られている	Assessment=expert, 思う=personal	Academic vs subjective	[sound:fe2986b75853.mp3]	module:04-n2 jlpt:n2 point:と考えられる complexity:standard confusable-with:と思われている frequency:top10k source:dictionary-of-jp-grammar source:shin-kanzen
政策は有効と考えられる。	と考えられる	と思われる	と考えられる	考える=analyzed, 思う=impression	Analytical vs impression	[sound:8e94d532f69c.mp3]	module:04-n2 jlpt:n2 point:と考えられる complexity:intro confusable-with:と思われる frequency:low source:dictionary-of-jp-grammar source:shin-kanzen
先行研究を踏まえて進める。	を踏まえて	に基づいて	を踏まえて	Acknowledge vs found	Foundation type	[sound:8bdefbf9bd16.mp3]	module:04-n2 jlpt:n2 point:と考えられる complexity:standard confusable-with:に基づいて frequency:top10k source:dictionary-of-jp-grammar source:shin-kanzen
責任に基づいた行動である。	に基づいた	に依拠した	に基づいた	基づく=authority, 依拠=theory	Authority vs theory	[sound:336b271ab9b3.mp3]	module:04-n2 jlpt:n2 point:と考えられる complexity:standard confusable-with:に依拠した frequency:top10k source:dictionary-of-jp-grammar source:shin-kanzen
事故に遭った時間不明とされ。	とされ	と言われ	とされ	される=attributed, いわれ=spoken	Attribution vs report	[sound:41cc101e675d.mp3]	module:04-n2 jlpt:n2 point:と考えられる complexity:standard confusable-with:と言われ frequency:low source:dictionary-of-jp-grammar source:shin-kanzen
役割において重要である。	において	~での	において	において=formal domain, での=informal	Formal vs informal	[sound:eca2254083dd.mp3]	module:04-n2 jlpt:n2 point:と考えられる complexity:intro confusable-with:での frequency:top10k source:dictionary-of-jp-grammar source:shin-kanzen
問題に関しては複雑である。	に関しては	について	に関しては	関して=official, ついて=general	Official vs general	[sound:133845034f35.mp3]	module:04-n2 jlpt:n2 point:と考えられる complexity:standard confusable-with:について frequency:top5k source:dictionary-of-jp-grammar source:shin-kanzen
目標をめぐって議論がある。	をめぐって	～について	をめぐって	めぐって=central, ついて=general	Central issue vs general	[sound:020ae0be88e0.mp3]	module:04-n2 jlpt:n2 point:と考えられる complexity:standard confusable-with:について frequency:top10k source:dictionary-of-jp-grammar source:shin-kanzen
結果を見ると明らかである。	を見ると	～を見れば	を見ると	見ると=observation, 見れば=if see	Observation vs condition	[sound:550c90f720f9.mp3]	module:04-n2 jlpt:n2 point:と考えられる complexity:standard confusable-with:を見れば frequency:top10k source:dictionary-of-jp-grammar source:shin-kanzen
原因に陥りやすい傾向だ。	に陥る	～へ進む	に陥る	陥る=sudden fall, 進む=gradual	Sudden vs gradual	[sound:4e318d8e9b6b.mp3]	module:04-n2 jlpt:n2 point:と考えられる complexity:intro confusable-with:へ進む frequency:top10k source:dictionary-of-jp-grammar source:shin-kanzen
