#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#
#deck:Japanese Grammar (Strict)::04 - N2 Grammar::Recognition

成長に伴って、責任も増す。	せいちょうにともなって、せきにんもます。	As growth occurs, responsibility increases.	にともなって (accompanying)	N + にともなって	Formal concomitant relation	With increase in X, Y too	にしたがって: similar attendant	[sound:d628611a0748.mp3]	module:04-n2 jlpt:n2 point:にしたがって complexity:intro frequency:top10k source:shin-kanzen
人口増加に伴い、都市化が進む。	じんこうぞうかにともない、としかがすすむ。	Accompanying population increase, urbanization advances.	にともなって	N + にともなって	Formal concomitant relation	With population rise, Y occurs	にしたがって: similar attendant	[sound:47f7aeefccdd.mp3]	module:04-n2 jlpt:n2 point:にしたがって complexity:standard frequency:top10k source:shin-kanzen
気温の上昇に伴って、病気が増えた。	きおんのじょうしょうにともなって、びょうきがふえた。	Accompanying the rise in temperature, disease increased.	にともなって	N + にともなって	Formal concomitant relation	With temperature rise, illness Y	にしたがって: similar attendant	[sound:934c6292953a.mp3]	module:04-n2 jlpt:n2 point:にしたがって complexity:standard frequency:low source:shin-kanzen
技術進化に伴い、職業が変わる。	ぎじゅつしんかにともない、しょくぎょうがかわる。	Accompanying technological advancement, jobs change.	にともなって	N + にともなって	Formal concomitant relation	With tech progress, jobs change	にしたがって: similar attendant	[sound:58a518178035.mp3]	module:04-n2 jlpt:n2 point:にしたがって complexity:standard frequency:low source:shin-kanzen
季節の変化に伴って、服装も変わる。	きせつのへんかにともなって、ふくそうもかわる。	Accompanying seasonal change, clothing also changes.	にともなって	N + にともなって	Formal concomitant relation	With season shift, dress Y	にしたがって: similar attendant	[sound:00a147a9a72f.mp3]	module:04-n2 jlpt:n2 point:にしたがって complexity:standard frequency:top10k source:shin-kanzen
時間の経過に従って、状況は変わる。	じかんのけいかにしたがって、じょうきょうはかわる。	As time passes, circumstances change.	にしたがって (in accordance with)	N + にしたがって	Formal proportion/sequence	In accordance with X, Y occurs	にともなって: similar attendant	[sound:35aecea6df59.mp3]	module:04-n2 jlpt:n2 point:にしたがって complexity:standard frequency:low source:shin-kanzen
指示に従い、作業を進める。	しじにしたがい、さぎょうをすすめる。	Following instructions, work proceeds.	にしたがって	N + にしたがって	Formal accordance	Following directions, do Y	にともなって: similar attendant	[sound:bae25318a255.mp3]	module:04-n2 jlpt:n2 point:にしたがって complexity:intro frequency:top10k source:shin-kanzen
法律に従って、手続きを進めた。	ほうりつにしたがって、てつづきをすすめた。	Following the law, procedures were carried out.	にしたがって	N + にしたがって	Formal legal accordance	According to law, procedure Y	にともなって: similar attendant	[sound:660670b17093.mp3]	module:04-n2 jlpt:n2 point:にしたがって complexity:standard frequency:low source:shin-kanzen
計画に従い、段階的に進める。	けいかくにしたがい、だんかいてきにすすめる。	Following the plan, we proceed step by step.	にしたがって	N + にしたがって	Formal accordance	Per plan, proceed gradually	にともなって: similar attendant	[sound:e7b3e18d04d7.mp3]	module:04-n2 jlpt:n2 point:にしたがって complexity:standard frequency:low source:shin-kanzen
習慣に従って、毎朝ジョギングをする。	しゅうかんにしたがって、まいあさじょぎんぐをする。	Following habit, I jog every morning.	にしたがって	N + にしたがって	Formal habitual accordance	Per habit, do X daily	にともなって: similar attendant	[sound:d7bf8fff78e0.mp3]	module:04-n2 jlpt:n2 point:にしたがって complexity:standard frequency:top5k source:shin-kanzen
