#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#deck:Japanese Grammar::03 - N3 Grammar::Recognition

人は誰もが死ぬものだ。	にんはだれもがしぬものだ。	All people are destined to die.	ものだ (general truth)	V-plain + ものだ (natural / used to / should — context-dependent)	Natural fact	ものだ: inevitable fact/natural — ことだ: literary prescription	ことだ vs ものだ	[sound:e00340affea0.mp3]	module:03-n3 jlpt:n3 point:ものだ complexity:intro confusable-with:ことだ frequency:top1k source:shin-kanzen
子供の頃、毎日遊ぶものだった。	こどものごろ、まいにちあそぶものだった。	When I was a child, I used to play every day.	ものだ (general truth)	ものだった	Nostalgic habit	ものだった: nostalgic habit — ことだった: not natural here	ことだった vs ものだった	[sound:cb0bbc98f9a7.mp3]	module:03-n3 jlpt:n3 point:ものだ complexity:intro confusable-with:ことだった frequency:top1k source:shin-kanzen
兄さんが来たので、わけだ。	にいさんがきたので、わけだ。	So that's why my brother came.	ものだ (general truth)	わけだ	Logical explanation	"わけだ: ""so that's why"" — ことだ: doesn't fit here"	ことだ vs わけだ	[sound:b58ff9c1919a.mp3]	module:03-n3 jlpt:n3 point:ものだ complexity:intro confusable-with:ことだ frequency:top10k source:shin-kanzen
勉強することだ。	べんきょうすることだ。	You should study.	ものだ (general truth)	ことだ	Prescription	ことだ: literary prescription — ものではない: negative propriety	ことだ vs ものではない	[sound:51eba48453fc.mp3]	module:03-n3 jlpt:n3 point:ものだ complexity:intro confusable-with:ものではない frequency:top1k source:shin-kanzen
季節になると蝉が鳴くものだ。	きせつになるとせみがなくものだ。	When the season comes, cicadas naturally sing.	ものだ (general truth)	V-plain + ものだ (natural / used to / should — context-dependent)	Natural cycle	ものだ: natural cycle — ことだ: literary prescription	ことだ vs ものだ	[sound:e61156bda66d.mp3]	module:03-n3 jlpt:n3 point:ものだ complexity:standard confusable-with:ことだ frequency:top5k source:shin-kanzen
毎日運動することにした。	まいにちうんどうすることにした。	I decided to exercise every day.	ものだ (general truth)	ことにした	Decision	ことにした: decision — ようにした: aimed outcome/habit change	ことにした vs ようにした	[sound:bbedb04d2b2c.mp3]	module:03-n3 jlpt:n3 point:ものだ complexity:intro confusable-with:ようにした frequency:top5k source:shin-kanzen
明日から禁煙することにします。	あしたからきんえんすることにします。	I've decided to quit smoking starting tomorrow.	ものだ (general truth)	ことにします	Personal decision	ことにします: personal decision — ようにします: cultivating habit	ことにします vs ようにします	[sound:5a17615691af.mp3]	module:03-n3 jlpt:n3 point:ものだ complexity:intro confusable-with:ようにします frequency:top10k source:shin-kanzen
毎月貯金することにしています。	まいつきちょきんすることにしています。	I make it a habit to save money every month.	ものだ (general truth)	ことにしています	Ongoing decision	ことにしています: ongoing decision — ようにしています: trained practice	ことにしています vs ようにしています	[sound:cff54f8fd702.mp3]	module:03-n3 jlpt:n3 point:ものだ complexity:intro confusable-with:ようにしています frequency:top10k source:shin-kanzen
時々居眠りすることがある。	ときどきいねむりすることがある。	I sometimes doze off.	ものだ (general truth)	ことがある	Occasional occurrence	ことがある: occasional occurrence — ものだ: habitual pattern	ことがある vs ものだ	[sound:8d069f041f31.mp3]	module:03-n3 jlpt:n3 point:ものだ complexity:intro confusable-with:ものだ frequency:top10k source:shin-kanzen
冬に雪が降るものだ。	ふゆにゆきがふるものだ。	It's natural for snow to fall in winter.	ものだ (general truth)	V-plain + ものだ (natural / used to / should — context-dependent)	Seasonal pattern	ものだ: seasonal pattern — ことがある: sporadic	ことがある vs ものだ	[sound:1f04bc8e1e06.mp3]	module:03-n3 jlpt:n3 point:ものだ complexity:intro confusable-with:ことがある frequency:top1k source:shin-kanzen
何という不思議なことか。	なんというふしぎなことか。	How strange this is!	ものだ (general truth)	ことか	Exclamation	ことか: exclamation — ものか: emphatic denial	ことか vs ものか	[sound:0d69d629482f.mp3]	module:03-n3 jlpt:n3 point:ものだ complexity:standard confusable-with:ものか frequency:top10k source:shin-kanzen
誰が信じるものか。	だれがしんじるものか。	Who would believe that!	ものだ (general truth)	"V-plain + ものか (vehement rhetorical refusal: ""as if I would!"")"	Rhetorical denial	ものか: rhetorical denial — ことか: not natural here	ことか vs ものか	[sound:9f37f396d050.mp3]	module:03-n3 jlpt:n3 point:ものだ complexity:intro confusable-with:ことか frequency:top10k source:shin-kanzen
安定のために / ように、保守的になった。	あんていのために / ように、ほしゅてきになった。	For stability, I became more conservative.	ものだ (general truth)	ために	Purpose/goal	ために: purpose/goal — ように: habit change or goal of change	ために vs ように	[sound:5e1c868d4cc1.mp3]	module:03-n3 jlpt:n3 point:ものだ complexity:standard confusable-with:ように frequency:low source:shin-kanzen
毎朝走る / ように走る、体が良くなった。	まいあさはしる / ようにはしる、からだがよくなった。	I run every morning / run habitually; my body has improved.	ものだ (general truth)	ように	Trained habit	ように: trained habit — ために: purpose	ように vs ために	[sound:7e6254ad6315.mp3]	module:03-n3 jlpt:n3 point:ものだ complexity:standard confusable-with:ために frequency:top1k source:shin-kanzen
何度も失敗したものだ。	なんどもしっぱいしたものだ。	I used to fail many times.	ものだ (general truth)	V-plain + ものだ (natural / used to / should — context-dependent)	Nostalgic pattern	ものだ: nostalgic pattern — ことだ: odd here	ことだ vs ものだ	[sound:34ea21a535f7.mp3]	module:03-n3 jlpt:n3 point:ものだ complexity:intro confusable-with:ことだ frequency:top10k source:shin-kanzen
会社に行く前、コーヒーを飲むことにしている。	かいしゃにいくまえ、こーひーをのむことにしている。	I've made it a habit to drink coffee before going to work.	ものだ (general truth)	ことにしている	Deliberate habit	ことにしている: deliberate habit — ものだ: natural pattern	ことにしている vs ものだ	[sound:e1acc5f380d7.mp3]	module:03-n3 jlpt:n3 point:ものだ complexity:standard confusable-with:ものだ frequency:top1k source:shin-kanzen
彼は毎日ジョギングするものだ。	かれはまいにちじょぎんぐするものだ。	He naturally jogs every day.	ものだ (general truth)	V-plain + ものだ (natural / used to / should — context-dependent)	Natural habit	ものだ: established habit — ことにしている: deliberate decision	ことにしている vs ものだ	[sound:ee8c4aec7b68.mp3]	module:03-n3 jlpt:n3 point:ものだ complexity:standard confusable-with:ことにしている frequency:top5k source:shin-kanzen
子供だったものだから、分からなかった。	こどもだったものだから、わからなかった。	Because I was a child, I didn't understand.	ものだ (general truth)	ものだから	Natural reason	ものだから: natural/emotional reason — ことだから: person-based reason	ことだから vs ものだから	[sound:77176497b8dc.mp3]	module:03-n3 jlpt:n3 point:ものだ complexity:standard confusable-with:ことだから frequency:top10k source:shin-kanzen
忙しいものだから、手伝えない。	いそがしいものだから、てつだえない。	Because I'm so busy, I can't help.	ものだ (general truth)	ものだから	Natural consequence	ものだから: natural reason — ことから: not natural here	ものだから vs ことから	[sound:b308bbcf68b9.mp3]	module:03-n3 jlpt:n3 point:ものだ complexity:intro confusable-with:ことから frequency:top1k source:shin-kanzen
父が教えた歌、今も覚えているものだ。	ちちがおしえたうた、いまもおぼえているものだ。	Naturally, I still remember the song my father taught me.	ものだ (general truth)	V-plain + ものだ (natural / used to / should — context-dependent)	Memory persistence	ものだ: lingering memory — ことだ: odd here	ことだ vs ものだ	[sound:373178f1c841.mp3]	module:03-n3 jlpt:n3 point:ものだ complexity:standard confusable-with:ことだ frequency:low source:shin-kanzen
