#separator:tab
#html:true
#columns:Text	Reading	Hint	Audio	Tags
#notetype:Cloze
#deck:Japanese Grammar::05 - N1 Grammar::Cloze
#
この仕事を{{c1::やり遂げる}}ことが重要だ。	このしごとを{{c1::やりとげる}}ことがじゅうようだ。	Auxiliary verb meaning to complete or accomplish.	[sound:fd4659505cae.mp3]	module:05-n1 jlpt:n1 point:n1-aux-suffixes complexity:standard frequency:low
計画を最後まで{{c1::通す}}ことが求められる。	けいかくをさいごまで{{c1::とおす}}ことがもとめられる。	Auxiliary verb meaning to carry through or maintain.	[sound:11197aa829f5.mp3]	module:05-n1 jlpt:n1 point:n1-aux-suffixes complexity:standard frequency:top10k
困難を{{c1::乗り越える}}ことができました。	こんなんを{{c1::のりこえる}}ことができました。	Verb meaning to overcome or get over.	[sound:56e7709e2230.mp3]	module:05-n1 jlpt:n1 point:n1-aux-suffixes complexity:standard frequency:top10k
子どもを立派に{{c1::育て上げる}}のが親の役割だ。	こどもをりっぱに{{c1::そだてあげる}}のがおやのやくわりだ。	Verb meaning to raise or nurture completely.	[sound:3c54d9bd252f.mp3]	module:05-n1 jlpt:n1 point:n1-aux-suffixes complexity:standard frequency:top10k
{{c1::失敗しかねない}}危険が潜んでいる。	{{c1::しっぱいしかねない}}きけんがひそんでいる。	Auxiliary phrase indicating potential failure risk.	[sound:d6d228157c29.mp3]	module:05-n1 jlpt:n1 point:n1-aux-suffixes complexity:intro frequency:top5k
承認{{c1::しかねる}}状況だと判断した。	しょうにん{{c1::しかねる}}じょうきょうだとはんだんした。	Auxiliary verb expressing reluctant inability.	[sound:b8a6d8aeeab1.mp3]	module:05-n1 jlpt:n1 point:n1-aux-suffixes complexity:intro frequency:top10k
全力を{{c1::尽くす}}ことが必要です。	ぜんりょくを{{c1::つくす}}ことがひつようです。	Verb meaning to exhaust or use completely.	[sound:16776ab3c145.mp3]	module:05-n1 jlpt:n1 point:n1-aux-suffixes complexity:intro frequency:low
同じ失敗を何度も{{c1::繰り返す}}ことはできない。	おなじしっぱいをなんども{{c1::くりかえす}}ことはできない。	Verb meaning to repeat or do over.	[sound:b82d66c624bb.mp3]	module:05-n1 jlpt:n1 point:n1-aux-suffixes complexity:standard frequency:top10k
努力が{{c1::実を結ぶ}}ことを信じている。	どりょくが{{c1::みをむすぶ}}ことをしんじている。	Verb phrase meaning to bear fruit or succeed.	[sound:2210261f3e44.mp3]	module:05-n1 jlpt:n1 point:n1-aux-suffixes complexity:standard frequency:top10k
条件は{{c1::満たす}}必要がある。	じょうけんは{{c1::みたす}}ひつようがある。	Verb meaning to satisfy or meet conditions.	[sound:71d3a8061028.mp3]	module:05-n1 jlpt:n1 point:n1-aux-suffixes complexity:intro frequency:low
