#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#deck:Japanese Grammar::10 - Onomatopoeia::Recognition

フワフワ	ふわふわ	Fluffy/soft.	Texture: light and airy	onomatopoeia	gitaigo: light airy fluffy texture — pillows, clouds, pastry; pleasantly soft	soft and fluffy	heavy and dense (ずっしり)	[sound:14c9ade9e23b.mp3]	module:10-onomatopoeia point:gitaigo-states complexity:intro source:dictionary-of-jp-grammar
サクサク	さくさく	Crispy.	Texture: crunchy	onomatopoeia	gitaigo: crisp pleasant crunch — fresh bread, lightly fried food; satisfying texture	crispy texture	soggy and soft (ふにゃふにゃ)	[sound:5219986d4daf.mp3]	module:10-onomatopoeia point:gitaigo-states complexity:intro source:dictionary-of-jp-grammar
ツルツル	つるつる	Smooth/slippery.	Texture: frictionless	onomatopoeia	gitaigo: perfectly smooth frictionless surface — ice, polished glass, silk	slick surface	rough and bumpy (ざらざら)	[sound:6887b4d6304f.mp3]	module:10-onomatopoeia point:gitaigo-states complexity:intro source:dictionary-of-jp-grammar
サラサラ	さらさら	Smooth/silky.	Hair or sand texture	onomatopoeia	gitaigo: smooth silky free-flowing — fine sand, healthy hair, thin liquid	smooth flow	tangled and matted (ぼさぼさ)	[sound:887d405b93eb.mp3]	module:10-onomatopoeia point:gitaigo-states complexity:intro source:dictionary-of-jp-grammar
スラスラ	すらすら	Smoothly/fluently.	Ease of reading	onomatopoeia	gitaigo: effortless fluent progress — reading aloud, speaking; no hesitation	easy flow	halting and choppy (ぎこちない)	[sound:dd0096f5ce99.mp3]	module:10-onomatopoeia point:gitaigo-states complexity:intro source:dictionary-of-jp-grammar
ジャリジャリ	じゃりじゃり	Gritty/sandy.	Texture with grit	onomatopoeia	gitaigo: gritty unpleasant grainy friction — sand in food, rough gravel	granular feel	smooth and clean (さらさら)	[sound:dcf915853bcc.mp3]	module:10-onomatopoeia point:gitaigo-states complexity:intro source:dictionary-of-jp-grammar
きちんと	きちんと	Precise/neat.	Orderly appearance	onomatopoeia	gitaigo: precise orderly exactness — everything fitting neatly; methodical tidiness	perfectly aligned	messy and haphazard (ぐちゃぐちゃ)	[sound:bf979272c304.mp3]	module:10-onomatopoeia point:gitaigo-states complexity:intro source:dictionary-of-jp-grammar
ぎくしゃく	ぎくしゃく	Stiff/mechanical.	Rigid or jerky	onomatopoeia	gitaigo: stiff mechanical movement — robot-like; lacks natural fluidity	awkward movement	smooth flowing (なめらか)	[sound:561c856509ce.mp3]	module:10-onomatopoeia point:gitaigo-states complexity:intro source:dictionary-of-jp-grammar
ポカポカ	ぽかぽか	Warm and pleasant.	Temperature comfort	onomatopoeia	gitaigo: gentle pleasant warmth — sunlight on skin, cozy heated room	cozy warmth	cold and chilly (ひんやり)	[sound:fa5a2029e1ed.mp3]	module:10-onomatopoeia point:gitaigo-states complexity:intro source:dictionary-of-jp-grammar
ドキドキ	どきどき	Heart pounding.	Emotional state	onomatopoeia	gitaigo: heart pounding from emotion — excitement, anxiety, anticipation	excited pulse	calm and steady (おだやか)	[sound:5969d0688239.mp3]	module:10-onomatopoeia point:gitaigo-states complexity:intro source:dictionary-of-jp-grammar
