#separator:tab
#html:true
#columns:Prompt	Target	Reading	Sample	Why	Audio	Tags
#notetype:Production
#deck:Japanese Grammar::03 - N3 Grammar::Production

I can't help but laugh at his behavior.	V-て + しようがない	かれのこうどうはしんじられず、わらってしようがない。	彼の行動は信じられず、笑ってしようがない。	てしようがない: overwhelming intensity — the feeling cannot be controlled	[sound:c5122f6fffe6.mp3]	module:03-n3 jlpt:n3 point:どころか complexity:standard frequency:top10k source:shin-kanzen
I'm tired and can't help but be sleepy.	V-te / adj-くて + しかたがない	つかれて、ねむくてしかたがない。	疲れて、眠くてしかたがない。	てしかたがない: irresistible state — so sleepy it simply cannot be helped	[sound:e23a96221671.mp3]	module:03-n3 jlpt:n3 point:どころか complexity:standard frequency:top10k source:shin-kanzen
That smell is wonderful, absolutely delightful.	V-te / adj-くて + たまらない	そのかおりはよくて、たまらない。	その香りは良くて、たまらない。	てたまらない: unbearable intensity — state is so extreme it cannot be endured	[sound:8b52fcd58961.mp3]	module:03-n3 jlpt:n3 point:どころか complexity:standard frequency:top10k source:shin-kanzen
The child's crying is loud and unbearable.	adj-くて + たまらない	こどものなきこえはおおきくて、たまらない。	子どもの泣き声は大きくて、たまらない。	てたまらない: unbearable intensity — state is so extreme it cannot be endured	[sound:b0b712346e5e.mp3]	module:03-n3 jlpt:n3 point:どころか complexity:standard frequency:top10k source:shin-kanzen
I can't help but watch that movie.	V-て + ならない	そのえいがはみずにはいられず、みてならない。	その映画は見ずにはいられず、見てならない。	ずにはいられない: irresistible compulsion — cannot stop oneself from doing X	[sound:9017105c57b9.mp3]	module:03-n3 jlpt:n3 point:どころか complexity:standard frequency:top1k source:shin-kanzen
He's not just excellent; he's perfect.	noun + どころか + degree	かれはゆうしゅうどころか、かんぺきだ。	彼は優秀どころか、完璧だ。	どころか: expectation reversal — far from X; reality is the opposite	[sound:3c0f2820b7f5.mp3]	module:03-n3 jlpt:n3 point:どころか complexity:intro frequency:top10k source:shin-kanzen
Far from helping, he's getting in the way.	verb + どころか + opposite	たすけるどころか、じゃまをしている。	助けるどころか、邪魔をしている。	どころか: expectation reversal — far from X; reality is the opposite	[sound:f2c8395fcfc4.mp3]	module:03-n3 jlpt:n3 point:どころか complexity:standard frequency:top10k source:shin-kanzen
In times like these, we can't afford to play around.	V-ing + どころではない	このごじせい、あそんでいるどころではない。	このご時世、遊んでいるどころではない。	どころか + neg: not even X; denial + reversal emphasis	[sound:ab179755a9e7.mp3]	module:03-n3 jlpt:n3 point:どころか complexity:standard frequency:top10k source:shin-kanzen
Even the children laughed.	noun + まで + particle	こどもまでがわらった。	子どもまでが笑った。	まで: inclusive extreme marker — even children laughed; unexpected extent	[sound:09f462c54f40.mp3]	module:03-n3 jlpt:n3 point:どころか complexity:intro frequency:top5k source:shin-kanzen
There are even problems that teachers don't know.	noun + まで + verb	せんせいさえしらないもんだいまである。	先生さえ知らない問題まである。	まで: inclusive extreme marker — even children laughed; unexpected extent	[sound:393bc1fadde6.mp3]	module:03-n3 jlpt:n3 point:どころか complexity:standard frequency:top1k source:shin-kanzen
Not only work but also private life is fulfilling.	noun + ばかりか + noun + も	しごとばかりか、ぷらいべーともじゅうじつしている。	仕事ばかりか、プライベートも充実している。	ばかりか: additive expansion — not only work but also personal life thrives	[sound:b1cf61d6343a.mp3]	module:03-n3 jlpt:n3 point:どころか complexity:standard frequency:low source:shin-kanzen
Not only effort but also talent is necessary.	noun + ばかりでなく + noun + も	どりょくばかりでなく、さいのうもひつようだ。	努力ばかりでなく、才能も必要だ。	ばかりでなく: not-only framing — effort PLUS talent both required	[sound:ca36137a26bd.mp3]	module:03-n3 jlpt:n3 point:どころか complexity:standard frequency:top10k source:shin-kanzen
I'm so frustrated I can't speak.	adj-くて + verb	くやしくて、ことばがでてこない。	悔しくて、言葉が出てこない。	てたまらない: frustrating intensity — so frustrated words won't come out	[sound:ca8fca45b9a5.mp3]	module:03-n3 jlpt:n3 point:どころか complexity:standard frequency:top10k source:shin-kanzen
His humming is surprisingly good.	adj + でたまらない	かれのはなうたはじょうずでたまらない。	彼の鼻歌は上手でたまらない。	てたまらない: unbearable intensity — state is so extreme it cannot be endured	[sound:b8d5a583b1b7.mp3]	module:03-n3 jlpt:n3 point:どころか complexity:standard frequency:top5k source:shin-kanzen
Work is tough and I desperately want a break.	V-たい-くて + しかたがない	しごとがたいへんで、やすみたくてしかたがない。	仕事が大変で、休みたくてしかたがない。	てしかたがない: irresistible state — so sleepy it simply cannot be helped	[sound:04e3ee0cad37.mp3]	module:03-n3 jlpt:n3 point:どころか complexity:standard frequency:top1k source:shin-kanzen
I can't help but be bewildered by her actions.	V-て + しようがない	かのじょのこうどうはりかいできず、とまどってしようがない。	彼女の行動は理解できず、戸惑ってしようがない。	てしようがない: overwhelming intensity — the feeling cannot be controlled	[sound:0dc29749ecba.mp3]	module:03-n3 jlpt:n3 point:どころか complexity:standard frequency:top10k source:shin-kanzen
The successful candidates are not just from this school but also from other universities.	noun + ばかりか + noun + も	ごうかくしゃはこのがっこうばかりか、ただいがくもふくむ。	合格者はこの学校ばかりか、他大学も含む。	ばかりか: additive expansion — not only work but also personal life thrives	[sound:b3b96997d3dd.mp3]	module:03-n3 jlpt:n3 point:どころか complexity:standard frequency:top10k source:shin-kanzen
I'm ill and can't move no matter how much I want to.	V-たくても + どうにも + neg	びょうきで、うごきたくてもどうにもならない。	病気で、動きたくてもどうにもならない。	どころか: reversal of stated intention — not X, can't even manage Y	[sound:46fe1292d82b.mp3]	module:03-n3 jlpt:n3 point:どころか complexity:standard frequency:low source:shin-kanzen
Today's test isn't just difficult; it's impossible.	adj + どころか + adj	きょうのてすとはむずかしいどころか、ふかのうだ。	今日のテストは難しいどころか、不可能だ。	どころか: expectation reversal — far from X; reality is the opposite	[sound:56e16d6693bc.mp3]	module:03-n3 jlpt:n3 point:どころか complexity:standard frequency:top10k source:shin-kanzen
Not only parents but friends are also worried.	noun + ばかりでなく + noun + も	おやばかりでなく、ともだちもしんぱいしている。	親ばかりでなく、友達も心配している。	ばかりでなく: not-only framing — effort PLUS talent both required	[sound:d498035d87e0.mp3]	module:03-n3 jlpt:n3 point:どころか complexity:standard frequency:top5k source:shin-kanzen
I was completely captivated by that scene.	V-て + しまう	そのこうけいには、こころうばわれてしまった。	その光景には、心奪われてしまった。	てしまう: completed with intensity — 心奪われてしまった = 'completely captivated'; てしまう marks thorough, often overwhelming completion	[sound:c3155960403f.mp3]	module:03-n3 jlpt:n3 point:どころか complexity:standard frequency:top10k source:shin-kanzen
So beautiful I can't help but stare.	V + ずにはいられない	うつくしすぎて、みつめずにはいられない。	美しすぎて、見つめずにはいられない。	ずにはいられない: irresistible compulsion — cannot stop oneself from doing X	[sound:ac57808dc5c5.mp3]	module:03-n3 jlpt:n3 point:どころか complexity:standard frequency:low source:shin-kanzen
I was impressed by his talent.	noun + に + V-させられた	かれのさいのうには、かんしんさせられた。	彼の才能には、感心させられた。	どころか: expectation reversal — far from X, in fact the opposite extreme	[sound:766d907c6b3c.mp3]	module:03-n3 jlpt:n3 point:どころか complexity:standard frequency:top10k source:shin-kanzen
This job is too much; I can't handle it.	V + えない	このしごとはたいへんで、てにおえない。	この仕事は大変で、手に負えない。	どころか: reversal of stated intention — not X, can't even manage Y	[sound:dbcd827d096b.mp3]	module:03-n3 jlpt:n3 point:どころか complexity:standard frequency:top1k source:shin-kanzen
