#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#deck:Japanese Grammar::04 - N2 Grammar::Recognition

お疲れさまでした。	おつかれさまでした。	Thank you for your hard work (end of day).	お疲れさまでした	honorific + verb + ました	formal farewell	work departure	politeness	[sound:127e934e8fde.mp3]	
ありがとうございました。	ありがとうございました。	Thank you very much (past polite).	ありがとうございました	arigatou + gozaimashita	past gratitude	polite	gratitude	[sound:882395686e31.mp3]	
お世話になっております。	おせわになっております。	I appreciate all your help/support (ongoing).	お世話になっております	o + noun + ni + natte + imasu	formal acknowledgment	business	gratitude	[sound:fbec766d4191.mp3]	
よろしくお願い申し上げます。	よろしくおねがいもうしあげます。	Thank you kindly for your assistance (formal).	よろしくお願い申し上げます	yoroshiku + onegai + moushaageru	formal request	keigo	request	[sound:0df433791f3b.mp3]	
申し訳ございません。	もうしわけございません。	I sincerely apologize.	申し訳ございません	moushiwake + gozaimasen	formal apology	keigo	apology	[sound:67c29b8929ed.mp3]	
恐縮ですが、少々よろしいでしょうか。	きょうしゅくですが、しょうしょうよろしいでしょうか。	I'm sorry to bother you, but could you spare a moment?	恐縮ですが	kyoushuku + desu + ga	polite request	keigo	request	[sound:ed6ffdaa65ea.mp3]	
かしこまりました。	かしこまりました。	Understood (formal/restaurant staff).	かしこまりました	kashikomaru + mashita	formal confirmation	keigo	compliance	[sound:916e88ee9bdf.mp3]	
ご苦労さまです。	ごくろうさまです。	Thank you for your effort (to subordinate).	ご苦労さまです	go + kyourou + sama	to subordinate	formal	gratitude	[sound:f6f723431c2e.mp3]	
いただけますでしょうか。	いただけますでしょうか。	Would you be able to...? (formal request).	いただけますでしょうか	itadakeru + masu + deshou + ka	formal request	keigo	request	[sound:5fe30d9029e3.mp3]	
失礼いたします。	しつれいいたします。	Excuse me (formal entry/exit).	失礼いたします	shitsurei + itasu	formal apology	keigo	courtesy	[sound:15ebb761d91c.mp3]	
かようなことで大変失礼いたしました。	かようなことでたいへんしつれいいたしました。	I apologize for such rudeness.	失礼いたしました	shitsurei + itashita	formal apology	keigo	apology	[sound:822fd5b1ce8b.mp3]	
何かご不明な点はございませんか。	なにかごふめいなてんはございませんか。	Are there any unclear points? (formal inquiry).	ございませんか	gozaimasen + ka	formal query	keigo	inquiry	[sound:f3338a347d76.mp3]	
こちらこそ、ありがとうございました。	こちらこそ、ありがとうございました。	Thank you as well (reciprocal thanks).	こちらこそ	kochira + koso + arigatou	reciprocal	gratitude	thanks	[sound:b76b7bc4ff9c.mp3]	
恐れ入りますが、ご住所をお伺いできますでしょうか。	おそれいりますが、ごじゅうしょをおうかがいできますでしょうか。	I apologize for asking, but could I have your address?	恐れ入りますが	osorei + irimasu + ga	polite request	keigo	request	[sound:49696f2d63d0.mp3]	
いつもお世話になっております。	いつもおせわになっております。	I always appreciate your help (business opening).	いつもお世話	itsumoo + sewa + natte + iru	ongoing	business	gratitude	[sound:52776647a842.mp3]	
わかりました。	わかりました。	Understood (informal).	わかりました	wakaru + mashita	informal confirmation	casual	compliance	[sound:731afb2a1ab5.mp3]	
はい、そうですね。	はい、そうですね。	That's right (agreement).	そうですね	sou + desu + ne	agreement	casual	agreement	[sound:3d7f779ebb55.mp3]	
ありがとうございます。	ありがとうございます。	Thank you very much (present polite).	ありがとうございます	arigatou + gozaimasu	present gratitude	polite	gratitude	[sound:29162a7b7170.mp3]	
さようなら。	さようなら。	Goodbye (formal).	さようなら	sayounara	formal farewell	polite	farewell	[sound:1cf06bbb2c20.mp3]	
お断りします。	おことわりします。	I must decline (formal).	お断りします	o + kotowaru + shimasu	formal rejection	keigo	refusal	[sound:b68537ec09bb.mp3]	
ご指摘ありがとうございます。	ごしてきありがとうございます。	Thank you for pointing that out (formal).	ご指摘ありがとうございます	go + shiteki + arigatou	formal thanks	keigo	gratitude	[sound:0815300b49b1.mp3]	
さようでございましたか。	さようでございましたか。	Is that so? (formal surprise).	さようでございましたか	sayou + de + gozaimashita + ka	formal reaction	keigo	reaction	[sound:f9b7872abfac.mp3]	
失礼します。	しつれいします。	Excuse me (less formal).	失礼します	shitsurei + shimasu	informal apology	casual	courtesy	[sound:f841442e1c8c.mp3]	
ありがとね。	ありがとね。	Thanks a bunch (friendly).	ありがとね	arigatou + ne	friendly thanks	casual	gratitude	[sound:3647618a5df6.mp3]	
じゃあ、また明日。	じゃあ、またあした。	See you tomorrow (casual).	じゃあ、また明日	ja + mata + ashita	casual farewell	casual	farewell	[sound:91b5d8e0aff3.mp3]	
お手数ですが。	おてすうですが。	I hate to ask, but... (formal).	お手数ですが	o + tesuu + desu + ga	polite apology	keigo	request	[sound:67abadcd2406.mp3]	
ご協力ありがとうございました。	ごきょうりょくありがとうございました。	Thank you for your cooperation (formal).	ご協力ありがとうございました	go + kyouryoku + arigatou	formal thanks	keigo	gratitude	[sound:e66a497ef4be.mp3]	
大変失礼いたしました。	たいへんしつれいいたしました。	I sincerely apologize (formal).	大変失礼いたしました	taihen + shitsurei + itashita	formal apology	keigo	apology	[sound:9517caa7e42e.mp3]	
ご指導よろしくお願いいたします。	ごしどうよろしくおねがいいたします。	Please mentor me (formal request).	ご指導よろしくお願いいたします	go + shidou + yoroshiku + onegai	formal request	keigo	request	[sound:a08c5b9826bf.mp3]	
お疲れ様です。	おつかれさまです。	Thank you for your work (present).	お疲れ様です	otsukaresama + desu	present work thanks	polite	gratitude	[sound:1232a5572c56.mp3]	
