#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#deck:Japanese Grammar::09 - Sentence-Final Particles & Aizuchi::Recognition
#
面白いよ。		よ asserts strongly; ね seeks agreement.	contrast-derived	よ	よ asserts strongly; ね seeks agreement.	よ = my opinion; ね = shared?	面白いね。 vs 面白いよ。	[sound:97cccc914669.mp3]	module:09-sfp-aizuchi point:sfp-aizuchi-contrast point:sfp-aizuchi complexity:intro frequency:top1k source:dictionary-of-jp-grammar
大変だよ。		よ emphasizes difficulty emphatically.	contrast-derived	よ	よ emphasizes difficulty emphatically.	よ = heavy emphasis; ね = softer	大変だね。 vs 大変だよ。	[sound:501e4f541bd7.mp3]	module:09-sfp-aizuchi point:sfp-aizuchi-contrast point:sfp-aizuchi complexity:intro frequency:top1k source:dictionary-of-jp-grammar
面白いよね。		Combo of よ (assert) + ね (seek agreement).	contrast-derived	よね	Combo of よ (assert) + ね (seek agreement).	よね = strongest connection	面白いよ。 vs 面白いね。	[sound:c160cb7ef8d4.mp3]	module:09-sfp-aizuchi point:sfp-aizuchi-contrast point:sfp-aizuchi complexity:intro frequency:top1k source:dictionary-of-jp-grammar
だぜ。		Rough male assertion vs standard よ.	contrast-derived	だぜ	Rough male assertion vs standard よ.	だぜ = rough male; よ = neutral	よ。 vs だぜ。	[sound:5c8623d53452.mp3]	module:09-sfp-aizuchi point:sfp-aizuchi-contrast point:sfp-aizuchi complexity:intro source:dictionary-of-jp-grammar
ぞ。		Rough old-style assertion vs modern よ.	contrast-derived	ぞ	Rough old-style assertion vs modern よ.	ぞ = archaic/rough; よ = modern	よ。 vs ぞ。	[sound:c6baa0a4610b.mp3]	module:09-sfp-aizuchi point:sfp-aizuchi-contrast point:sfp-aizuchi complexity:intro source:dictionary-of-jp-grammar
うん。		Basic agreement vs neutral acknowledgment.	contrast-derived	うん	Basic agreement vs neutral acknowledgment.	うん = affirmation; そう = understanding	そう。 vs うん。	[sound:d357e9e0ee2c.mp3]	module:09-sfp-aizuchi point:sfp-aizuchi-contrast point:sfp-aizuchi complexity:intro source:dictionary-of-jp-grammar
なるほど。		Intellectual acknowledgment vs simple understanding.	contrast-derived	なるほど	Intellectual acknowledgment vs simple understanding.	なるほど = insight; そう = basic	そう。 vs なるほど。	[sound:d92566ab8563.mp3]	module:09-sfp-aizuchi point:sfp-aizuchi-contrast point:sfp-aizuchi complexity:intro source:dictionary-of-jp-grammar
たしかに。		Strong concurrence vs simple agreement.	contrast-derived	たしかに	Strong concurrence vs simple agreement.	たしかに = validates point; うん = agrees	うん。 vs たしかに。	[sound:1221f8d155f8.mp3]	module:09-sfp-aizuchi point:sfp-aizuchi-contrast point:sfp-aizuchi complexity:intro source:dictionary-of-jp-grammar
のよ。		Female explanation vs female simple assertion.	contrast-derived	のよ	Female explanation vs female simple assertion.	のよ = reason; わよ = statement	わよ。 vs のよ。	[sound:b08e245dff22.mp3]	module:09-sfp-aizuchi point:sfp-aizuchi-contrast point:sfp-aizuchi complexity:intro source:dictionary-of-jp-grammar
わね。		Female dialect agreement vs neutral agreement.	contrast-derived	わね	Female dialect agreement vs neutral agreement.	わね = Kansai/feminine; ね = standard	ね。 vs わね。	[sound:b4c5597cd5a0.mp3]	module:09-sfp-aizuchi point:sfp-aizuchi-contrast point:sfp-aizuchi complexity:intro source:dictionary-of-jp-grammar
かしら。		Female wondering vs standard question.	contrast-derived	かしら	Female wondering vs standard question.	かしら = feminine musing; か = direct query	か。 vs かしら。	[sound:5fc307bbbc3f.mp3]	module:09-sfp-aizuchi point:sfp-aizuchi-contrast point:sfp-aizuchi complexity:intro source:dictionary-of-jp-grammar
の?		Female intimate question vs standard question.	contrast-derived	の	Female intimate question vs standard question.	の = intimate; か = formal/neutral	か? vs の?	[sound:cf49ae3b7dd0.mp3]	module:09-sfp-aizuchi point:sfp-aizuchi-contrast point:sfp-aizuchi complexity:intro source:dictionary-of-jp-grammar
よ。		Assertion vs agreement-seeking.	contrast-derived	よ	Assertion vs agreement-seeking.	よ = tells you; ね = asks you	ね。 vs よ。	[sound:521471556ba7.mp3]	module:09-sfp-aizuchi point:sfp-aizuchi-contrast point:sfp-aizuchi complexity:intro source:dictionary-of-jp-grammar
ぜ。		Rough suggestion vs standard assertion.	contrast-derived	ぜ	Rough suggestion vs standard assertion.	ぜ = rough/male; よ = standard	よ。 vs ぜ。	[sound:cd0f97e61943.mp3]	module:09-sfp-aizuchi point:sfp-aizuchi-contrast point:sfp-aizuchi complexity:intro source:dictionary-of-jp-grammar
わ。		Female/Kansai assertion vs standard assertion.	contrast-derived	わ	Female/Kansai assertion vs standard assertion.	わ = female/regional; よ = neutral	よ。 vs わ。	[sound:b5570ad1346b.mp3]	module:09-sfp-aizuchi point:sfp-aizuchi-contrast point:sfp-aizuchi complexity:intro source:dictionary-of-jp-grammar
