#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#deck:Japanese Grammar::04 - N2 Grammar::Recognition

眠くてたまらない	ねむくてたまらない	I'm unbearably sleepy.	-てたまらない	unbearable / overwhelming	emotion	unbearable sleepiness — involuntary physical state		[sound:ff94e5bd37bf.mp3]	module:04-n2 jlpt:n2 point:てたまらない complexity:intro source:shin-kanzen
悔しくてたまらない	くやしくてたまらない	It's unbearably frustrating.	-てたまらない	Adj-く/な + てたまらない (unbearable emotion)	emotion	unbearable frustration — cannot suppress the feeling		[sound:f671a07893f6.mp3]	module:04-n2 jlpt:n2 point:てたまらない complexity:intro source:shin-kanzen
痛くてたまらない	いたくてたまらない	The pain is unbearable.	-てたまらない	い-adj-く + てたまらない (unbearable pain)	pain	unbearable physical pain — intensity beyond tolerance		[sound:498fea1f464b.mp3]	module:04-n2 jlpt:n2 point:てたまらない complexity:intro source:shin-kanzen
恋しくてたまらない	こいしくてたまらない	I miss (someone) unbearably.	-てたまらない	V-たく + てたまらない (unbearable longing)	longing	unbearable longing — emotional state impossible to shake		[sound:a9a1869e9ea8.mp3]	module:04-n2 jlpt:n2 point:てたまらない complexity:intro frequency:top10k source:shin-kanzen
知りたくてたまらない	しりたくてたまらない	I desperately want to know.	-てたまらない	V-たく + てたまらない (overwhelming desire)	desire	irresistible desire to know — cognitive urge		[sound:e97e65e7f5b4.mp3]	module:04-n2 jlpt:n2 point:てたまらない complexity:intro source:shin-kanzen
楽しくてたまらない	たのしくてたまらない	Unbearably fun / delightful.	-てたまらない	い-adj-く + てたまらない (unbearable joy)	joy	overwhelmingly joyful — positive sensation out of control		[sound:172aa1922a1e.mp3]	module:04-n2 jlpt:n2 point:てたまらない complexity:intro frequency:top10k source:shin-kanzen
言いたくてたまらない	いいたくてたまらない	I desperately want to say.	-てたまらない	V-たく + てたまらない (irresistible urge)	urge	irresistible urge to speak — cannot hold the words back		[sound:fa923ccb70aa.mp3]	module:04-n2 jlpt:n2 point:てたまらない complexity:intro source:shin-kanzen
気になってたまらない	きになってたまらない	I can't help but worry.	-てたまらない	な-adj + で + たまらない (overwhelming worry)	worry	can't stop worrying — anxious fixation		[sound:d0d81fd5c224.mp3]	module:04-n2 jlpt:n2 point:てたまらない complexity:intro frequency:top5k source:shin-kanzen
暑くてたまらないので、クーラーをつけた。	あつくてたまらないので、くーらーをつけた。	It was unbearably hot so I turned on the air conditioning.	-てたまらない	i-Adj-く + てたまらない	unbearable physical sensation	unbearably hot	てたまらない = strong involuntary physical/emotional state; similar to てしょうがない	[sound:0996d13e8a91.mp3]	module:04-n2 jlpt:n4 point:てたまらない complexity:standard frequency:top5k source:shin-kanzen source:authored jlpt:n2 frequency:low
早く休みたくてたまらない。	はやくやすみたくてたまらない。	I want so badly to rest.	-たくてたまらない	V-たい + くてたまらない	overwhelming desire	can't stand wanting to V	-たくてたまらない = want so intensely it's unbearable	[sound:3ab03452e8b0.mp3]	module:04-n2 jlpt:n4 point:てたまらない complexity:standard frequency:top5k source:shin-kanzen source:authored jlpt:n2 frequency:top1k
