#separator:tab
#html:true
#columns:Prompt	Target	Reading	Sample	Why	Audio	Tags
#notetype:Production
#deck:Japanese Grammar::04 - N2::Production
#
As growth occurs, responsibility increases.	N + にともなって	せいちょうにともなって、せきにんもます。	成長に伴って、責任も増す。	Formal concomitant relation	[sound:d628611a0748.mp3]	module:04-n2 jlpt:n2 point:formal-attendant complexity:intro frequency:top10k source:shin-kanzen
Accompanying population increase, urbanization advances.	N + にともなって	じんこうぞうかにともない、としかがすすむ。	人口増加に伴い、都市化が進む。	Formal concomitant relation	[sound:47f7aeefccdd.mp3]	module:04-n2 jlpt:n2 point:formal-attendant complexity:standard frequency:top10k source:shin-kanzen
Accompanying the rise in temperature, disease increased.	N + にともなって	きおんのじょうしょうにともなって、びょうきがふえた。	気温の上昇に伴って、病気が増えた。	Formal concomitant relation	[sound:934c6292953a.mp3]	module:04-n2 jlpt:n2 point:formal-attendant complexity:standard frequency:low source:shin-kanzen
Accompanying technological advancement, jobs change.	N + にともなって	ぎじゅつしんかにともない、しょくぎょうがかわる。	技術進化に伴い、職業が変わる。	Formal concomitant relation	[sound:58a518178035.mp3]	module:04-n2 jlpt:n2 point:formal-attendant complexity:standard frequency:low source:shin-kanzen
Accompanying seasonal change, clothing also changes.	N + にともなって	きせつのへんかにともなって、ふくそうもかわる。	季節の変化に伴って、服装も変わる。	Formal concomitant relation	[sound:00a147a9a72f.mp3]	module:04-n2 jlpt:n2 point:formal-attendant complexity:standard frequency:top10k source:shin-kanzen
As time passes, circumstances change.	N + にしたがって	じかんのけいかにしたがって、じょうきょうはかわる。	時間の経過に従って、状況は変わる。	Formal proportion/sequence	[sound:35aecea6df59.mp3]	module:04-n2 jlpt:n2 point:formal-attendant complexity:standard frequency:low source:shin-kanzen
Following instructions, work proceeds.	N + にしたがって	しじにしたがい、さぎょうをすすめる。	指示に従い、作業を進める。	Formal accordance	[sound:bae25318a255.mp3]	module:04-n2 jlpt:n2 point:formal-attendant complexity:intro frequency:top10k source:shin-kanzen
Following the law, procedures were carried out.	N + にしたがって	ほうりつにしたがって、てつづきをすすめた。	法律に従って、手続きを進めた。	Formal legal accordance	[sound:660670b17093.mp3]	module:04-n2 jlpt:n2 point:formal-attendant complexity:standard frequency:low source:shin-kanzen
Following the plan, we proceed step by step.	N + にしたがって	けいかくにしたがい、だんかいてきにすすめる。	計画に従い、段階的に進める。	Formal accordance	[sound:e7b3e18d04d7.mp3]	module:04-n2 jlpt:n2 point:formal-attendant complexity:standard frequency:low source:shin-kanzen
Following habit, I jog every morning.	N + にしたがって	しゅうかんにしたがって、まいあさじょぎんぐをする。	習慣に従って、毎朝ジョギングをする。	Formal habitual accordance	[sound:d7bf8fff78e0.mp3]	module:04-n2 jlpt:n2 point:formal-attendant complexity:standard frequency:top5k source:shin-kanzen
Along with work, human relationships deepen.	N + とともに	しごととともに、にんげんかんけいもふかまる。	仕事とともに、人間関係も深まる。	Formal parallel action	[sound:f4c3a39009b1.mp3]	module:04-n2 jlpt:n2 point:formal-attendant complexity:standard frequency:top10k source:shin-kanzen
Along with the child's growth, parents also grow.	N + とともに	こどものせいちょうとともに、おやもせいちょうする。	子どもの成長とともに、親も成長する。	Formal parallel development	[sound:c792d1b9ce9c.mp3]	module:04-n2 jlpt:n2 point:formal-attendant complexity:standard frequency:top10k source:shin-kanzen
As years accumulate, wisdom also increases.	V + とともに	としをかさねるとともに、ちえもます。	年を重ねるとともに、知恵も増す。	Formal parallel increase	[sound:0b3d3f93b134.mp3]	module:04-n2 jlpt:n2 point:formal-attendant complexity:standard frequency:top10k source:shin-kanzen
As society develops, problems become more complex.	V + とともに	しゃかいがはってんするとともに、もんだいもふくざつになる。	社会が発展するとともに、問題も複雑になる。	Formal parallel development	[sound:5bc626d9e43e.mp3]	module:04-n2 jlpt:n2 point:formal-attendant complexity:standard frequency:top10k source:shin-kanzen
As experience increases, confidence deepens.	V + とともに	けいけんがふえるとともに、じしんもふかまる。	経験が増えるとともに、自信も深まる。	Formal parallel growth	[sound:411474d41f02.mp3]	module:04-n2 jlpt:n2 point:formal-attendant complexity:standard frequency:top10k source:shin-kanzen
As we walked, the scenery changed.	V + につれ(て)	あるくにつれ、けしきがかわっていった。	歩くにつれ、景色が変わっていった。	Formal progression	[sound:050a41a1de8c.mp3]	module:04-n2 jlpt:n2 point:formal-attendant complexity:standard frequency:top5k source:shin-kanzen
As time passed, the situation worsened.	V + につれて	じかんがたつにつれ、じょうきょうはあっかしていった。	時間が経つにつれ、状況は悪化していった。	Formal temporal progression	[sound:1311e772ede6.mp3]	module:04-n2 jlpt:n2 point:formal-attendant complexity:standard frequency:low source:shin-kanzen
As one ages, interests change.	V + につれて	としをかさねるにつれて、かんしんがかわる。	年を重ねるにつれて、関心が変わる。	Formal progression with aging	[sound:1f9ce746ad33.mp3]	module:04-n2 jlpt:n2 point:formal-attendant complexity:standard frequency:top10k source:shin-kanzen
As the voice grew louder, those around also paid attention.	V + につれ	こえのおおきさがあがるにつれ、しゅういもちゅうもくした。	声の大きさが上がるにつれ、周囲も注目した。	Formal proportional response	[sound:c71045a64291.mp3]	module:04-n2 jlpt:n2 point:formal-attendant complexity:standard frequency:top10k source:shin-kanzen
As the illness worsened, vigor was also lost.	V + につれて	びょうきがあっかするにつれて、きりょくもうしなわれていった。	病気が悪化するにつれて、気力も失われていった。	Formal parallel deterioration	[sound:61151c2ebafa.mp3]	module:04-n2 jlpt:n2 point:formal-attendant complexity:standard frequency:low source:shin-kanzen
Either way, the result won't change.	N + にせよ	どちらにせよ、けっかはかわらないだろう。	どちらにせよ、結果は変わらないだろう。	Formal concession	[sound:5aee83fa39ca.mp3]	module:04-n2 jlpt:n2 point:formal-attendant complexity:standard frequency:top10k source:shin-kanzen
Whoever it may be, this rule should be followed.	N + にせよ	だれにせよ、このるーるはまもるべきだ。	誰にせよ、このルールは守るべきだ。	Formal universal obligation	[sound:a9982ef5c86f.mp3]	module:04-n2 jlpt:n2 point:formal-attendant complexity:standard frequency:top10k source:shin-kanzen
Whenever it may be, preparation is important.	N + にせよ	いつにせよ、じゅんびがたいせつだ。	いつにせよ、準備が大切だ。	Formal universal importance	[sound:ac692bae38c8.mp3]	module:04-n2 jlpt:n2 point:formal-attendant complexity:intro frequency:top5k source:shin-kanzen
Be it success or failure, it's an experience.	V + にせよ	せいこうするにせよ、しっぱいするにせよ、けいけんになる。	成功するにせよ、失敗するにせよ、経験になる。	Formal either-or consequence	[sound:ca1e5db03b31.mp3]	module:04-n2 jlpt:n2 point:formal-attendant complexity:standard frequency:top10k source:shin-kanzen
Rich or poor, happiness is precious.	Copula + にせよ	かねもちであるにせよ、ひんぼうであるにせよ、しあわせはたいせつだ。	金持ちであるにせよ、貧乏であるにせよ、幸せは大切だ。	Formal universal principle	[sound:42ea1f3df73e.mp3]	module:04-n2 jlpt:n2 point:formal-attendant complexity:standard frequency:low source:shin-kanzen
Either way, today is off.	N + にしろ	どちらにしろ、きょうはやすみだ。	どちらにしろ、今日は休みだ。	Formal concession	[sound:17d4e2c1ca84.mp3]	module:04-n2 jlpt:n2 point:formal-attendant complexity:standard frequency:top1k source:shin-kanzen
Whatever one does, sincerity is necessary.	V + にしろ	なにをするにしろ、せいじつさがひつようだ。	何をするにしろ、誠実さが必要だ。	Formal universal necessity	[sound:74c1adb8643f.mp3]	module:04-n2 jlpt:n2 point:formal-attendant complexity:standard frequency:low source:shin-kanzen
Wherever one goes, safety comes first.	V + にしろ	どこへいくにしろ、あんぜんがだいいちだ。	どこへ行くにしろ、安全が第一だ。	Formal universal priority	[sound:48a57f45159f.mp3]	module:04-n2 jlpt:n2 point:formal-attendant complexity:standard frequency:top5k source:shin-kanzen
No matter who you associate with, mutual respect matters.	V + にしろ	だれといっしょにするにしろ、そうごそんちょうがたいせつだ。	誰と一緒にするにしろ、相互尊重が大切だ。	Formal universal principle	[sound:b6705d80bcb5.mp3]	module:04-n2 jlpt:n2 point:formal-attendant complexity:standard frequency:low source:shin-kanzen
Be it English or Japanese, practice is important.	N + にしろ	えいごにしろ、にほんごにしろ、れんしゅうがたいせつだ。	英語にしろ、日本語にしろ、練習が大切だ。	Formal either-or principle	[sound:0de79ad52630.mp3]	module:04-n2 jlpt:n2 point:formal-attendant complexity:standard frequency:top10k source:shin-kanzen
