#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#deck:Japanese Grammar::02 - N4 Grammar::Recognition

子どもに野菜を食べさせた。	こどもにやさいをたべさせた。	I made the child eat vegetables.	Forcing causative	V + させる	Force someone to act	Parent forces child	Forcing context	[sound:b93a16a77505.mp3]	module:02-n4 jlpt:n4 point:causative complexity:standard frequency:top5k source:shin-kanzen
学生に宿題をさせている。	がくせいにしゅくだいをさせている。	I am making the students do homework.	Forcing causative ongoing	V + させている	使役: habitual imposition — teacher regularly assigns homework as obligation	Habitual forcing	Shows routine	[sound:2232aef2bf4e.mp3]	module:02-n4 jlpt:n4 point:causative complexity:intro frequency:top1k source:shin-kanzen
兵士に走らせた。	へいしにはしらせた。	The commander made the soldiers run.	Forcing causative	V + させた	Forced action	Military order	Clear power dynamic	[sound:e9ac4c82d4fc.mp3]	module:02-n4 jlpt:n4 point:causative complexity:intro frequency:low source:shin-kanzen
労働者に長時間働かせるな。	ろうどうしゃにちょうじかんはたらかせるな。	Do not make workers labor for long hours.	Forcing causative negative	V + させるな	Prohibition on forcing	Warning command	Ethical objection	[sound:d8727b5f0e21.mp3]	module:02-n4 jlpt:n4 point:causative complexity:standard frequency:top10k source:shin-kanzen
医者は患者に薬を飲ませた。	いしゃはかんじゃにくすりをのませた。	The doctor made the patient take medicine.	Forcing causative	V + させた	Professional authority	Medical context	Necessary imposition	[sound:d24755a1841d.mp3]	module:02-n4 jlpt:n4 point:causative complexity:standard frequency:top10k source:shin-kanzen
子どもに好きなことをさせている。	こどもにすきなことをさせている。	I let my child do what they like.	Permissive causative	V + させている	Allow someone to act	Permission nuance	Differs from forcing	[sound:298544c2b2b3.mp3]	module:02-n4 jlpt:n4 point:causative complexity:standard frequency:top5k source:shin-kanzen
学生に質問させてください。	がくせいにしつもんさせてください。	Please let the students ask questions.	Permissive causative request	V + させてください	使役 (permission): request-causative — asking another to allow speaker's action	Polite asking	Shows respect	[sound:981db8f94da4.mp3]	module:02-n4 jlpt:n4 point:causative complexity:standard frequency:top1k source:shin-kanzen
彼に自由に選ばせた。	かれにじゆうにえらばせた。	I let him choose freely.	Permissive causative	V + させた	使役 (permission): grant autonomy — allow person to choose freely; non-coercive	Freedom emphasized	Passive acceptance	[sound:9444e44981e7.mp3]	module:02-n4 jlpt:n4 point:causative complexity:intro frequency:top5k source:shin-kanzen
妻に友人を招待させた。	つまにゆうじんをしょうたいさせた。	I let my wife invite friends.	Permissive causative	V + させた	使役 (delegate): assign task downward — superior delegates action to spouse	Social context	Delegation	[sound:0c0b37e15ac8.mp3]	module:02-n4 jlpt:n4 point:causative complexity:intro frequency:top10k source:shin-kanzen
選手たちに試合をさせろ。	せんしゅたちにしあいをさせろ。	Let the athletes play the match.	Permissive causative imperative	V + させろ	使役 (forced): coercion with emotion — made to laugh/cry; emotional state induced	Insistent permission	Authoritative	[sound:52f54d8c919e.mp3]	module:02-n4 jlpt:n4 point:causative complexity:intro frequency:top10k source:shin-kanzen
