#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#deck:Japanese Grammar::05 - N1 Grammar::Recognition
今こそ始めるべき時だ。	いまこそはじめるべきときだ。	こそ: Emphatic.	こそ	Emphatic	Marks heightened emphasis on preceding element	Signals 'THIS is the time'	頭疲れるこそ。	[sound:05f11672b23b.mp3]	module:05-n1 jlpt:n1 point:literary-particles complexity:intro frequency:top5k
彼こそが真犯人だ。	かれこそがしんはんにんだ。	こそ: Emphatic.	こそ	Emphatic	Marks heightened emphasis on preceding element	Points to the REAL culprit	これこそが本当。	[sound:98238e92886a.mp3]	module:05-n1 jlpt:n1 point:literary-particles complexity:intro frequency:top10k
苦難こそが人を成長させる。	くなんこそがにんをせいちょうさせる。	こそ: Emphatic.	こそ	Emphatic	Marks heightened emphasis on preceding element	Hardship itself builds character	それこそ真実。	[sound:d83d90e43429.mp3]	module:05-n1 jlpt:n1 point:literary-particles complexity:standard frequency:top10k
今年こそ合格したい。	こんねんこそごうかくしたい。	こそ: Emphatic.	こそ	Emphatic	Marks heightened emphasis on preceding element	THIS year I want to pass	まさにこの時。	[sound:6385574dfa48.mp3]	module:05-n1 jlpt:n1 point:literary-particles complexity:intro frequency:top10k
君こそ相応しい。	くんこそふさわしい。	こそ: Emphatic.	こそ	Emphatic	Marks heightened emphasis on preceding element	You're THE one	ふさわしい人。	[sound:c8d08af17b0d.mp3]	module:05-n1 jlpt:n1 point:literary-particles complexity:intro frequency:low
想像だに難しい。	そうぞうだにむずかしい。	だに: Even-not.	だに	Even-not	Marks extreme difficulty to imagine	Hard to even imagine	想像不可能。	[sound:6c035ada0da8.mp3]	module:05-n1 jlpt:n1 point:literary-particles complexity:intro frequency:top10k
名前だに知らない。	なまえだにしらない。	だに: Even-not.	だに	Even-not	Marks extreme difficulty to imagine	Don't even know the name	知識がない。	[sound:779c65e44c9a.mp3]	module:05-n1 jlpt:n1 point:literary-particles complexity:intro frequency:top1k
読むことだに困難だ。	よむことだにこんなんだ。	だに: Even-not.	だに	Even-not	Marks extreme difficulty to imagine	Hard to even read	難しい作品。	[sound:64ff6832773f.mp3]	module:05-n1 jlpt:n1 point:literary-particles complexity:intro frequency:top10k
接触することだに許されない。	せっしょくすることだにゆるされない。	だに: Even-not.	だに	Even-not	Marks extreme difficulty to imagine	Even contact is forbidden	禁止事項。	[sound:a6510236fcbd.mp3]	module:05-n1 jlpt:n1 point:literary-particles complexity:standard frequency:low
言葉だにない。	ことばだにない。	だに: Even-not.	だに	Even-not	Marks extreme difficulty to imagine	Words fail	無言状態。	[sound:99042908c84d.mp3]	module:05-n1 jlpt:n1 point:literary-particles complexity:intro frequency:top1k
子供すら知っている。	こどもすらしっている。	すら: Even.	すら	Even	Marks lowest/furthest extent	Even a child knows	当然の知識。	[sound:6de5ecedb616.mp3]	module:05-n1 jlpt:n1 point:literary-particles complexity:intro frequency:top1k
彼女すら怒った。	かのじょすらいかった。	すら: Even.	すら	Even	Marks lowest/furthest extent	Even girlfriend was angry	衝撃的。	[sound:8f574b7dc309.mp3]	module:05-n1 jlpt:n1 point:literary-particles complexity:intro frequency:top5k
富士山すら見えない。	ふじさんすらみえない。	すら: Even.	すら	Even	Marks lowest/furthest extent	Can't even see Mt. Fuji	視界が悪い。	[sound:af07ea83d08f.mp3]	module:05-n1 jlpt:n1 point:literary-particles complexity:intro frequency:low
一言すら言わない。	ひとことすらいわない。	すら: Even.	すら	Even	Marks lowest/furthest extent	Won't even say a word	無言。	[sound:0f42f500afda.mp3]	module:05-n1 jlpt:n1 point:literary-particles complexity:intro frequency:top10k
水すら飲めない。	みずすらのめない。	すら: Even.	すら	Even	Marks lowest/furthest extent	Can't even drink water	困窮状態。	[sound:1caf0a1662a7.mp3]	module:05-n1 jlpt:n1 point:literary-particles complexity:intro frequency:top1k
努力さえすれば成功する。	どりょくさえすればせいこうする。	さえ: Even (conditional).	さえ	Even (conditional)	Marks condition; if only you	If only you try	条件付き成功。	[sound:125adbf1ebb6.mp3]	module:05-n1 jlpt:n1 point:literary-particles complexity:intro frequency:top10k
時間さえあれば行きたい。	じかんさえあればいきたい。	さえ: Even (conditional).	さえ	Even (conditional)	Marks condition; if only you	If only I had time	時間の問題。	[sound:d37da1fe6785.mp3]	module:05-n1 jlpt:n1 point:literary-particles complexity:intro frequency:top10k
健康さえ失ったら終わり。	けんこうさえうったらおわり。	さえ: Even (conditional).	さえ	Even (conditional)	Marks condition; if only you	If health is lost, it's over	最後の砦。	[sound:759a008fbe66.mp3]	module:05-n1 jlpt:n1 point:literary-particles complexity:intro frequency:top10k
誠意さえあれば許される。	せいいさえあればゆるされる。	さえ: Even (conditional).	さえ	Even (conditional)	Marks condition; if only you	Sincerity alone suffices	条件成立。	[sound:eaf815352135.mp3]	module:05-n1 jlpt:n1 point:literary-particles complexity:intro frequency:low
金銭のみが目的ではない。	きんせんのみがもくてきではない。	のみ: Only.	のみ	Only	Marks sole/exclusive	Money is not the only goal	複数の理由。	[sound:0a478addab4d.mp3]	module:05-n1 jlpt:n1 point:literary-particles complexity:intro frequency:top10k
今のみならず未来も大切。	いまのみならずみらいもたいせつ。	のみならず: Not only.	のみならず	Not only	Marks not only X but also	Not just now, but future too	拡張。	[sound:f7a954f7294f.mp3]	module:05-n1 jlpt:n1 point:literary-particles complexity:intro frequency:top10k
彼のみが知っている。	かのみがしっている。	のみ: Only.	のみ	Only	Marks sole/exclusive	Only he knows	独占情報。	[sound:be552e7fb351.mp3]	module:05-n1 jlpt:n1 point:literary-particles complexity:intro frequency:top5k
勉強のみならず運動も重要。	べんきょうのみならずうんどうもじゅうよう。	のみならず: Not only.	のみならず	Not only	Marks not only X but also	Not just study but exercise	両方大事。	[sound:a77ff6eecb18.mp3]	module:05-n1 jlpt:n1 point:literary-particles complexity:standard frequency:top10k
一度きりの機会。	いちどきりのきかい。	きり: Only/Once.	きり	Only/Once	Marks single occurrence	Only one chance	二度とない。	[sound:95acf131ec42.mp3]	module:05-n1 jlpt:n1 point:literary-particles complexity:intro frequency:top5k
今きりの告白。	いまきりのこくはく。	きり: Only/Once.	きり	Only/Once	Marks single occurrence	This confession, just once	一回限定。	[sound:a8efef349020.mp3]	module:05-n1 jlpt:n1 point:literary-particles complexity:intro frequency:low
彼とはこれきりだ。	かれとはこれきりだ。	きり: Only/Once.	きり	Only/Once	Marks single occurrence	Done with him (for good)	終了。	[sound:9964c4879adb.mp3]	module:05-n1 jlpt:n1 point:literary-particles complexity:intro frequency:top5k
合格どころか受験もしなかった。	ごうかくどころかじゅけんもしなかった。	どころか: Far from.	どころか	Far from	Marks negation of both stated/implied	Far from passing, didn't take exam	否定拡張。	[sound:bd5277d87a54.mp3]	module:05-n1 jlpt:n1 point:literary-particles complexity:standard frequency:low
助言どころか無視された。	じょげんどころかむしされた。	どころか: Far from.	どころか	Far from	Marks negation of both stated/implied	Far from advising, was ignored	逆方向。	[sound:70b5ffb1f773.mp3]	module:05-n1 jlpt:n1 point:literary-particles complexity:intro frequency:low
返事どころか連絡すらない。	へんじどころかれんらくすらない。	どころか: Far from.	どころか	Far from	Marks negation of both stated/implied	No reply, let alone contact	完全な無応答。	[sound:83ba8297712f.mp3]	module:05-n1 jlpt:n1 point:literary-particles complexity:standard frequency:top5k
何とてそんなことができるか。	なんとてそんなことができるか。	とて: Literary how.	とて	Literary how	Old form of として	By what means	疑問表現。	[sound:a9b19ebd7023.mp3]	module:05-n1 jlpt:n1 point:literary-particles complexity:standard frequency:top1k
誰とてこれを解けない。	だれとてこれをとけない。	とて: Literary no matter who.	とて	Literary no matter who	No matter who; archaic	No one can solve this	全称否定。	[sound:4fa36c5bb07d.mp3]	module:05-n1 jlpt:n1 point:literary-particles complexity:intro frequency:top1k
いかなることとてなし遂げよう。	いかなることとてなしとげよう。	とて: Literary despite.	とて	Literary despite	Despite anything	Will accomplish despite anything	決意表現。	[sound:a473998ccddc.mp3]	module:05-n1 jlpt:n1 point:literary-particles complexity:standard
困難とてこれを成し遂げるまいとは思わない。	こんなんとてこれをなしとげるまいとはおもわない。	とて〜まい: Literary determination.	とて〜まい	Literary determination	Emphasizes commitment despite hardship	Won't fail despite hardship	決意強調。	[sound:1b68412dc0b4.mp3]	module:05-n1 jlpt:n1 point:literary-particles complexity:standard frequency:low
