#separator:tab
#html:true
#columns:Prompt	Target	Reading	Sample	Why	Audio	Tags
#notetype:Production
#deck:Japanese Grammar::06 - Keigo::Production
#

I humbly request permission to do.	させ+ていただく	させていただく。	させていただく。	permission humble stacking	[sound:b82243ae42fc.mp3]	module:06-keigo point:humble-elevation-stacking complexity:intro source:dictionary-of-jp-grammar sense:keigo-alternatives
May I humbly do this?	させていただいても+よろしい+でしょうか	させていただいてもよろしいでしょうか。	させていただいてもよろしいでしょうか。	permission request	[sound:2ce803fd53a6.mp3]	module:06-keigo point:humble-elevation-stacking complexity:standard source:dictionary-of-jp-grammar sense:keigo-alternatives
I humbly receive (archaic).	たまわる	たまわる。	たまわる。	archaic humble	[sound:e8c1b0dcf416.mp3]	module:06-keigo point:humble-elevation-stacking complexity:intro source:dictionary-of-jp-grammar sense:keigo-alternatives
I humbly did.	させ+ていただいた	させていただきました。	させていただきました。	past permission	[sound:ed731e70fd21.mp3]	module:06-keigo point:humble-elevation-stacking complexity:intro source:dictionary-of-jp-grammar sense:keigo-alternatives
I can scarcely believe I am permitted to do such a thing.	させていただける+とは	そのようなことをさせていただけるとは。	そのようなことをさせていただけるとは。	grateful permission	[sound:7ce85ab81407.mp3]	module:06-keigo point:humble-elevation-stacking complexity:standard source:dictionary-of-jp-grammar sense:keigo-alternatives
This time I wish to humbly make a promise.	お・+させていただきたい	このどはおやくそくをさせていただきたく。	この度はお約束をさせていただきたく。	double humble stacking	[sound:7d3b2fdea228.mp3]	module:06-keigo point:humble-elevation-stacking complexity:standard frequency:top10k source:dictionary-of-jp-grammar sense:keigo-alternatives
I was able to humbly do.	させていただく+ことができた	させていただくことができました。	させていただくことができました。	permission accomplishment	[sound:d10e28418715.mp3]	module:06-keigo point:humble-elevation-stacking complexity:standard source:dictionary-of-jp-grammar sense:keigo-alternatives
He/she came to be done to (passive as honorific).	される+ようになる	されるようになった。	されるようになった。	passive honorific	[sound:d4cfa7592053.mp3]	module:06-keigo point:humble-elevation-stacking complexity:intro source:dictionary-of-jp-grammar sense:keigo-alternatives
He/she read it (honorific).	お・+になる	およみになりました。	お読みになりました。	double honorific stacking	[sound:dc00698852d1.mp3]	module:06-keigo point:humble-elevation-stacking complexity:intro frequency:top10k source:dictionary-of-jp-grammar sense:keigo-alternatives
He/she explained (passive honorific).	ご・+なさる	ごせつめいなさいました。	ご説明なさいました。	passive honorific pattern	[sound:4284fd925f63.mp3]	module:06-keigo point:humble-elevation-stacking complexity:intro frequency:top5k source:dictionary-of-jp-grammar sense:keigo-alternatives
I humbly request permission to say.	申し上げ+させていただく	もうしあげさせていただきます。	申し上げさせていただきます。	double humble speaking	[sound:f5dd6c63d4ca.mp3]	module:06-keigo point:humble-elevation-stacking complexity:standard frequency:top1k source:dictionary-of-jp-grammar sense:keigo-alternatives
I humbly returned.	お・+させていただいた	おかえしさせていただきました。	お返しさせていただきました。	double humble returning	[sound:a09ed82f4f4a.mp3]	module:06-keigo point:humble-elevation-stacking complexity:standard source:dictionary-of-jp-grammar sense:keigo-alternatives
I wish to humbly report.	ご・+させていただきたい	ごほうこくさせていただきたく。	ご報告させていただきたく。	double humble reporting	[sound:dc78ad44dfe7.mp3]	module:06-keigo point:humble-elevation-stacking complexity:standard frequency:top10k source:dictionary-of-jp-grammar sense:keigo-alternatives
I humbly request permission to say.	いわ+させていただく	いわせていただきます。	言わせていただきます。	permission to speak	[sound:4a0894dd9edc.mp3]	module:06-keigo point:humble-elevation-stacking complexity:intro source:dictionary-of-jp-grammar sense:keigo-alternatives
Could I humbly receive?	いただける+でしょうか	いただけるでしょうか。	いただけるでしょうか。	humble permission question	[sound:07d88eba9ab4.mp3]	module:06-keigo point:humble-elevation-stacking complexity:intro source:dictionary-of-jp-grammar sense:keigo-alternatives
I would like permission to think about it.	かんがえ+させていただきたい	かんがえさせていただきたい。	考えさせていただきたい。	permission to consider	[sound:7041e2119c46.mp3]	module:06-keigo point:humble-elevation-stacking complexity:intro frequency:top10k source:dictionary-of-jp-grammar sense:keigo-alternatives
I wish to humbly do (archaic humble layer).	させていただきたい+存じる	をさせていただきたくぞんじます。	をさせていただきたく存じます。	triple humble stacking	[sound:87ea65cded3d.mp3]	module:06-keigo point:humble-elevation-stacking complexity:standard source:dictionary-of-jp-grammar sense:keigo-alternatives
I was humbly given the authority to receive.	いただく+与える+いただく	いただくけんげんをあたえていただきました。	いただく権限を与えていただきました。	double humble authority	[sound:f0d0a8e1466a.mp3]	module:06-keigo point:humble-elevation-stacking complexity:standard frequency:low source:dictionary-of-jp-grammar sense:keigo-alternatives
Regarding permission to do, I humbly request.	させていただく+こと+ご・+いたす	させていただくことについておねがいいたします。	させていただくことについてお願いいたします。	triple stacking	[sound:37bff070ef99.mp3]	module:06-keigo point:humble-elevation-stacking complexity:standard frequency:top10k source:dictionary-of-jp-grammar sense:keigo-alternatives
