#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#deck:Japanese Grammar::02 - N4 Grammar::Recognition

私は友達に荷物を持ってあげました。	わたしはともだちににもつをもってあげました。	I helped my friend by carrying luggage.	-てあげる	help to equal	V-te + あげる	do favor for equal	benefit	[sound:e8bf91fd21dd.mp3]	module:02-n4 jlpt:n4 point:benefactive complexity:standard frequency:top1k
姉が妹に宿題を教えてあげた。	あねがいもうとにしゅくだいをおしえてあげた。	The older sister taught homework to the younger sister.	-てあげる	help to junior	V-te + あげる	do favor for junior	family	[sound:c5c6aa121e9a.mp3]	module:02-n4 jlpt:n4 point:benefactive complexity:standard frequency:top10k
先生に資料を作ってあげました。	せんせいにしりょうをつくってあげました。	I created materials for the teacher.	-てあげる	help to superior	V-te + あげる	favor for teacher	school	[sound:cc554bde91b2.mp3]	module:02-n4 jlpt:n4 point:benefactive complexity:standard frequency:low
兄が弟に水をやってあげた。	あにがおとうとにみずをやってあげた。	The brother gave water to the younger brother.	-てあげる	to junior	V-te + やる	to sibling	family	[sound:1c13a7485dfb.mp3]	module:02-n4 jlpt:n4 point:benefactive complexity:standard frequency:top1k
猫に餌をやってあげた。	ねこにえさをやってあげた。	I gave food to the cat.	-てあげる	to animate	V-te + やる	pet care	routine	[sound:c6b4c3997e53.mp3]	module:02-n4 jlpt:n4 point:benefactive complexity:intro frequency:top10k
彼女に花を買ってあげた。	かのじょにはなをかってあげた。	I bought flowers for my girlfriend.	-てあげる	romantic	V-te + あげる	gift-giving	relationship	[sound:c36eda04cbe5.mp3]	module:02-n4 jlpt:n4 point:benefactive complexity:intro frequency:top5k
子供に本を読んであげました。	こどもにほんをよんであげました。	I read a book to the child.	-てあげる	to child	V-te + あげる	parenting	children	[sound:0a42c881054a.mp3]	module:02-n4 jlpt:n4 point:benefactive complexity:standard frequency:top1k
同僚が私に仕事を教えてあげた。	どうりょうがわたしにしごとをおしえてあげた。	My colleague taught me the job.	-てあげる	workplace help	V-te + あげる	training	work	[sound:8a4ea4957501.mp3]	module:02-n4 jlpt:n4 point:benefactive complexity:standard frequency:top10k
友達が私に秘密を打ち明けてくれた。	ともだちがわたしにひみつをうちあけてくれた。	My friend confided a secret to me.	-てあげる	confidential	V-te + あげる	trust	friend	[sound:cf8e14d66ba7.mp3]	module:02-n4 jlpt:n4 point:benefactive complexity:standard frequency:top10k
母が夜遅くまで待ってあげた。	ははがよるおそくまでまってあげた。	My mother waited for me until late.	-てあげる	parental	V-te + あげる	patience	parent	[sound:841c9a3b9cd6.mp3]	module:02-n4 jlpt:n4 point:benefactive complexity:standard frequency:top1k
