#separator:tab
#html:true
#columns:Prompt	Target	Reading	Sample	Why	Audio	Tags
#notetype:Production
#deck:Japanese Grammar::03 - N3 Grammar::Production
#
What structure expresses possibility?	ーかもしれない	あしたはあめかもしれない。	明日は雨かもしれない。	Marks possibility or uncertainty	[sound:f51fde625e1c.mp3]	module:03-n3 jlpt:n3 point:n3-modality complexity:standard frequency:top5k frequency:top1k complexity:intro source:shin-kanzen
Complete: 'Must ___'	ーばかりか	まちがいない。	間違いない。	Certainty marker	[sound:896a2bff4015.mp3]	module:03-n3 jlpt:n3 point:n3-modality complexity:standard frequency:top5k frequency:top10k complexity:intro source:shin-kanzen
Which marks conditional necessity?	ーなければならない	まいにちべんきょうしなければならない。	毎日勉強しなければならない。	Must do (obligation)	[sound:c0b7a1c9ed82.mp3]	module:03-n3 jlpt:n3 point:n3-modality complexity:standard frequency:top5k frequency:top1k source:shin-kanzen
Fill: 'Can do ___'	ーことができる、ーられる	およぐことができる。	泳ぐことができる。	Ability or permission	[sound:58e360570186.mp3]	module:03-n3 jlpt:n3 point:n3-modality complexity:standard frequency:top5k frequency:top1k complexity:intro source:shin-kanzen
What shows supposition?	ーようだ、ーみたいだ	かれはいかっているようだ。	彼は怒っているようだ。	Seems like, appears to be	[sound:68af14be6a66.mp3]	module:03-n3 jlpt:n3 point:n3-modality complexity:standard frequency:top5k complexity:intro source:shin-kanzen
Complete: 'Probably ___'	ーだろう、ーでしょう	あしたははれるだろう。	明日は晴れるだろう。	Probability marker	[sound:2269a15bb217.mp3]	module:03-n3 jlpt:n3 point:n3-modality complexity:standard frequency:top5k frequency:top1k complexity:intro source:shin-kanzen
Which expresses permission?	ーてもいい	ここにすわってもいいですか。	ここに座ってもいいですか。	Asking or giving permission	[sound:f92f96eeb47b.mp3]	module:03-n3 jlpt:n3 point:n3-modality complexity:standard frequency:top5k source:shin-kanzen
Fill: 'Don't have to ___'	ーなくてもいい	こんにちはこなくてもいい。	今日は来なくてもいい。	Not necessary	[sound:3b464177ca78.mp3]	module:03-n3 jlpt:n3 point:n3-modality complexity:standard frequency:top5k frequency:top10k complexity:intro source:shin-kanzen
What marks habitual possibility?	ーことがある	ときどきあめがふることがある。	時々雨が降ることがある。	Sometimes happens	[sound:422c11f5ff21.mp3]	module:03-n3 jlpt:n3 point:n3-modality complexity:standard frequency:top5k frequency:top1k complexity:intro source:shin-kanzen
Complete: 'Used to ___'	ーたことがある	むかし、およぎにいったことがある。	昔、泳ぎに行ったことがある。	Past experience	[sound:8a3bec97a3fb.mp3]	module:03-n3 jlpt:n3 point:n3-modality complexity:standard frequency:top5k frequency:top10k source:shin-kanzen
