#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#deck:Japanese Grammar::05 - N1 Grammar::Recognition

彼の言葉を聞くが早いか、皆が拍手した。	かれのことばをきくがはやいか、みながはくしゅした。	As soon as we heard his words, everyone applauded.	〜が早いか	immediacy	As soon as	timing	quickness	[sound:272a521fd5aa.mp3]	module:05-n1 jlpt:n1 point:n1-rare-elevated
ドアが開くが早いか、子供が飛び出した。	ドアがひらくがはやいか、こどもがとびだした。	No sooner had the door opened than the child jumped out.	〜が早いか	immediacy	The moment	action	quickness	[sound:edc769989bcf.mp3]	module:05-n1 jlpt:n1 point:n1-rare-elevated
会議が終わるが早いか、彼は立ち去った。	かいぎがおわるがはやいか、かれはたちさった。	The moment the meeting ended, he left.	〜が早いか	immediacy	As soon as	departure	quickness	[sound:e385148af199.mp3]	module:05-n1 jlpt:n1 point:n1-rare-elevated
命令を下さんきや、兵士たちは行動した。	めいれいをくださんきや、へいしたちはこうどうした。	Scarcely had the order been given when soldiers acted.	〜きや	immediacy	Before/scarcely	order	antiquity	[sound:45e4c1c0e1dd.mp3]	module:05-n1 jlpt:n1 point:n1-rare-elevated
彼はその話のなんのと言って、怒った。	かれはそのはなしのなんのといって、おこった。	He said something-or-other about that story and got angry.	〜のなんのと言って	dismissal	Something-or-other	reaction	downplay	[sound:6c6acba046cf.mp3]	module:05-n1 jlpt:n1 point:n1-rare-elevated
詳細はどうでもよい。要点のなんのと言って簡潔にする。	しょうさいはどうでもよい。ようてんのなんのといってかんけつにする。	Details don't matter. The point-or-other put concisely.	〜のなんのと言って	dismissal	The point being	summary	downplay	[sound:a1ca20d6ac5e.mp3]	module:05-n1 jlpt:n1 point:n1-rare-elevated
成功すると思いきや、失敗した。	せいこうするとおもいきや、しっぱいした。	I thought he would succeed, but he failed.	〜と思いきや	contrast	I thought/expected but	surprise	reversal	[sound:f2ee328252b5.mp3]	module:05-n1 jlpt:n1 point:n1-rare-elevated
彼が来ると思いきや、全く来なかった。	かれがくるとおもいきや、まったくこなかった。	I expected him to come, but he didn't come at all.	〜と思いきや	contrast	I thought but	absence	reversal	[sound:7d4b11dfa4b1.mp3]	module:05-n1 jlpt:n1 point:n1-rare-elevated
簡単だと思いきや、実は難しかった。	かんたんだとおもいきや、じつはむずかしかった。	I thought it was simple, but it was actually difficult.	〜と思いきや	contrast	I thought but	difficulty	reversal	[sound:e20f20bc8329.mp3]	module:05-n1 jlpt:n1 point:n1-rare-elevated
その学者とおぼしき人物が現れた。	そのがくしゃとおぼしきじんぶつがあらわれた。	A person who appeared to be a scholar showed up.	〜とおぼしき	inference	Appears to be	identity	inference	[sound:7a3956573c75.mp3]	module:05-n1 jlpt:n1 point:n1-rare-elevated
