#separator:tab
#html:true
#columns:JP	OptionA	OptionB	Answer	Why	Tip	Audio	Tags
#notetype:Contrast
#deck:Japanese Grammar::10 - Onomatopoeia::Contrast

キラキラと輝く星	きらきら	ぴかぴか	きらきら	Both describe brightness but differ: きらきら = discrete bright flashes; ぴかぴか = polished shine.	Stars twinkle → きらきら; polished object → ぴかぴか	[sound:93b27dec9f58.mp3]	module:10-onomatopoeia point:onomatopoeia complexity:intro confusable-with:ぴかぴか frequency:top10k
ドキドキと心臓が跳ねている	ドキドキ	チクタク	ドキドキ	Fast excited heartbeat (ドキドキ) vs steady regular ticking (チクタク); different tempos and emotions.	Excited/scared pulse → ドキドキ; mechanical steady → チクタク	[sound:ca0c2ab58a1a.mp3]	module:10-onomatopoeia point:onomatopoeia complexity:standard confusable-with:チクタク frequency:top10k
ロボロボした動き	ロボロボ	チロチロ	ロボロボ	Stiff mechanical movement (ロボロボ) vs flickering light (チロチロ); different modalities.	Stiff jerky motion → ロボロボ; flickering flames → チロチロ	[sound:1cc81ed4393f.mp3]	module:10-onomatopoeia point:onomatopoeia complexity:intro confusable-with:チロチロ frequency:low
本をスラスラ読める	スラスラ	ジャリジャリ	スラスラ	Smooth fluent reading (スラスラ) vs rough gritty texture (ジャリジャリ); opposite qualities.	Easy smooth flow → スラスラ; rough granular feel → ジャリジャリ	[sound:5053293c9594.mp3]	module:10-onomatopoeia point:onomatopoeia complexity:intro confusable-with:ジャリジャリ frequency:top1k
綿がフワフワしている	フワフワ	ずっしり	フワフワ	Light airy texture (フワフワ) vs heavy dense object (ずっしり); opposite weight perceptions.	Soft and light → フワフワ; heavy and solid → ずっしり	[sound:a568392e286a.mp3]	module:10-onomatopoeia point:onomatopoeia complexity:intro confusable-with:ずっしり frequency:top10k
顔がしょんぼりしている	しょんぼり	キラキラ	しょんぼり	Dejected drooping appearance (しょんぼり) vs bright sparkling (キラキラ); opposite moods.	Sad and droopy → しょんぼり; bright and shiny → キラキラ	[sound:42637d7d8a19.mp3]	module:10-onomatopoeia point:onomatopoeia complexity:intro confusable-with:キラキラ frequency:top1k
クッキーがサクサク	サクサク	ふにゃふにゃ	サクサク	Crispy crunchy texture (サクサク) vs soft mushy (ふにゃふにゃ); opposite food textures.	Crispy fresh cookie → サクサク; soggy wet cookie → ふにゃふにゃ	[sound:7491671e59aa.mp3]	module:10-onomatopoeia point:onomatopoeia complexity:intro confusable-with:ふにゃふにゃ
絹がツルツルだ	ツルツル	ざらざら	ツルツル	Smooth slippery surface (ツルツル) vs rough bumpy (ざらざら); tactile opposites.	Silky smooth fabric → ツルツル; rough sandpaper → ざらざら	[sound:04368f628f3c.mp3]	module:10-onomatopoeia point:onomatopoeia complexity:intro confusable-with:ざらざら frequency:top5k
雨がザーザーと降る	ザーザー	しとしと	ザーザー	Heavy downpour (ザーザー) vs light gentle rain (しとしと); intensity difference.	Torrential rain → ザーザー; soft drizzle → しとしと	[sound:ebae4636f840.mp3]	module:10-onomatopoeia point:onomatopoeia complexity:intro confusable-with:しとしと frequency:top1k
心がワクワク	ワクワク	ハラハラ	ワクワク	Excited positive anticipation (ワクワク) vs nervous worried tension (ハラハラ); emotional tone.	Thrilled and happy → ワクワク; nervous and anxious → ハラハラ	[sound:98ac0c9adaa4.mp3]	module:10-onomatopoeia point:onomatopoeia complexity:intro confusable-with:ハラハラ frequency:top5k
