#separator:tab
#html:true
#columns:Prompt	Target	Reading	Sample	Why	Audio	Tags
#notetype:Production
#deck:Japanese Grammar::09 - Sfp Aizuchi::Production
#
Huh? What?	えっ	えっ	えっ	marks surprise/shock	[sound:22daff09800f.mp3]	pos:interjection register:casual module:09-sfp-aizuchi point:interjections complexity:intro source:dictionary-of-jp-grammar
Oh! (surprised).	へえ	へえ	へえ	indicates mild surprise	[sound:ca903eac7468.mp3]	pos:interjection register:casual module:09-sfp-aizuchi point:interjections complexity:intro source:dictionary-of-jp-grammar
Wow! / Yikes!	ひゃー	ひゃー	ひゃー	expresses excitement/fear	[sound:57c2d002dcf0.mp3]	pos:interjection register:casual module:09-sfp-aizuchi point:interjections complexity:intro source:dictionary-of-jp-grammar
Whoa! / Wow!	うわ	うわ	うわ	expresses shock/wonder	[sound:e54c732dd519.mp3]	pos:interjection register:casual module:09-sfp-aizuchi point:interjections complexity:intro source:dictionary-of-jp-grammar
Wowww! (extended).	うわぁ	うわぁ	うわぁ	prolonged wow expression	[sound:629998c9e55c.mp3]	pos:interjection register:casual module:09-sfp-aizuchi point:interjections complexity:intro source:dictionary-of-jp-grammar
Ugh! (disgust).	ゲッ	げっ	ゲッ	expresses revulsion	[sound:c3177957e1e1.mp3]	pos:interjection register:casual module:09-sfp-aizuchi point:interjections complexity:intro source:dictionary-of-jp-grammar
Oh no! (flustered).	オロオロ	おろおろ	オロオロ	expresses confusion/panic	[sound:7caf9662ae80.mp3]	pos:interjection register:casual module:09-sfp-aizuchi point:interjections complexity:intro source:dictionary-of-jp-grammar
Oh gosh! (nervous).	あわあわ	あわあわ	あわあわ	indicates nervousness	[sound:9f6e0799a1ab.mp3]	pos:interjection register:casual module:09-sfp-aizuchi point:interjections complexity:intro source:dictionary-of-jp-grammar
Well, let me think.	うんと	うんと	うんと	marks hesitation/thinking	[sound:37e563ecc0fa.mp3]	pos:interjection register:casual module:09-sfp-aizuchi point:interjections complexity:intro source:dictionary-of-jp-grammar
Um, well... (hesitant).	えーと	えーと	えーと	indicates searching for words	[sound:9ccfa57d008e.mp3]	pos:interjection register:casual module:09-sfp-aizuchi point:interjections complexity:intro source:dictionary-of-jp-grammar
Yes! / I did it!	やった	やった	やった	celebrates success	[sound:40816daf6c85.mp3]	pos:interjection register:casual module:09-sfp-aizuchi point:interjections complexity:intro source:dictionary-of-jp-grammar
All right! / Let's go!	よし	よし	よし	marks decision/readiness	[sound:add97ba54f6b.mp3]	pos:interjection register:casual module:09-sfp-aizuchi point:interjections complexity:intro source:dictionary-of-jp-grammar
Allright! (extended).	よーし	よーし	よーし	prolonged readiness	[sound:023b741d596e.mp3]	pos:interjection register:casual module:09-sfp-aizuchi point:interjections complexity:intro source:dictionary-of-jp-grammar
Come on! / Well then.	さあ	さあ	さあ	prompts action/time passing	[sound:ff9f14ca0a0b.mp3]	pos:interjection register:casual module:09-sfp-aizuchi point:interjections complexity:intro source:dictionary-of-jp-grammar
Come on, come on!	さあ(repeated)	さあさあ	さあさあ	emphasizes urgency	[sound:6666355657f7.mp3]	pos:interjection register:casual module:09-sfp-aizuchi point:interjections complexity:intro source:dictionary-of-jp-grammar
Oh no! / That's bad!	やばい	やばい	やばい	expresses danger/problem	[sound:626c1af47936.mp3]	pos:interjection register:casual module:09-sfp-aizuchi point:interjections complexity:intro source:dictionary-of-jp-grammar
This won't work!	だめだ	だめだ	だめだ	declares failure/impossibility	[sound:c358ca83aa14.mp3]	pos:interjection register:casual module:09-sfp-aizuchi point:interjections complexity:intro source:dictionary-of-jp-grammar
Good, good. (approving).	よし(repeated)	よしよし	よしよし	expresses satisfaction	[sound:a26f9c6e6027.mp3]	pos:interjection register:casual module:09-sfp-aizuchi point:interjections complexity:intro source:dictionary-of-jp-grammar
Ugh, sigh. (resigned).	あーあ	あーあ	あーあ	expresses disappointment	[sound:80d5693fc894.mp3]	pos:interjection register:casual module:09-sfp-aizuchi point:interjections complexity:intro source:dictionary-of-jp-grammar
Tch! (annoyed sound).	ちぇっ	ちぇっ	ちぇっ	expresses irritation	[sound:b97d106c6b0a.mp3]	pos:interjection register:casual module:09-sfp-aizuchi point:interjections complexity:intro source:dictionary-of-jp-grammar
Hmph! (suppressed sound).	うっ	うっ	うっ	marks held emotion	[sound:2968bbc7b133.mp3]	pos:interjection register:casual module:09-sfp-aizuchi point:interjections complexity:intro source:dictionary-of-jp-grammar
Argh! Seriously!	あぁもう	あぁもう	あぁもう	expresses exasperation	[sound:fecbe079b4f3.mp3]	pos:interjection register:casual module:09-sfp-aizuchi point:interjections complexity:intro source:dictionary-of-jp-grammar
Phew. (relieved sigh).	ふう	ふう	ふう	expresses relief	[sound:944247a7b77d.mp3]	pos:interjection register:casual module:09-sfp-aizuchi point:interjections complexity:intro source:dictionary-of-jp-grammar
Wow! (feminine delight).	わぁ	わぁ	わぁ	expresses feminine joy	[sound:91a5f94b85bb.mp3]	pos:interjection register:feminine module:09-sfp-aizuchi point:interjections complexity:intro source:dictionary-of-jp-grammar
