#separator:tab
#html:true
#columns:JP	OptionA	OptionB	Answer	Why	Tip	Audio	Tags
#notetype:Contrast
#deck:Japanese Grammar::05 - N1 Grammar::Contrast
#
そういえば、昨日は会った？	ところで	それはさておき	そういえば	そういえば = come to think of it/now that you mention	Come to think of it, did we meet yesterday?	[sound:8ff9abed8fc5.mp3]	module:05-n1 jlpt:n1 register:literary point:n1-discourse-markers pos:expr frequency:top1k complexity:intro
そういえば、あの人はどうなった？	ところで	それはさておき	そういえば	そういえば = reminds me/speaking of	Speaking of, what happened to that person?	[sound:6d65aa5b7803.mp3]	module:05-n1 jlpt:n1 register:literary point:n1-discourse-markers pos:expr frequency:top1k complexity:standard
ところで、次の会議はいつですか。	そういえば	それはさておき	ところで	ところで = by the way/incidentally	By the way, when is next meeting?	[sound:28e505f9f80f.mp3]	module:05-n1 jlpt:n1 register:literary point:n1-discourse-markers pos:expr frequency:top5k complexity:standard
ところで、君はどう思う？	そういえば	それはさておき	ところで	ところで = changing subject/anyway	Anyway, what do you think?	[sound:65f83c858995.mp3]	module:05-n1 jlpt:n1 register:literary point:n1-discourse-markers pos:expr frequency:top5k complexity:intro
それはさておき、本題に入りましょう。	そういえば	ところで	それはさておき	それはさておき = setting that aside/anyway	Setting that aside, let's get to main point	[sound:36d2455bb5aa.mp3]	module:05-n1 jlpt:n1 register:literary point:n1-discourse-markers pos:expr frequency:top10k complexity:standard
それはさておき、今後の計画は？	そういえば	ところで	それはさておき	それはさておき = not to get into that/but	But, what about future plans?	[sound:2f45eb1d560f.mp3]	module:05-n1 jlpt:n1 register:literary point:n1-discourse-markers pos:expr frequency:top10k complexity:standard
そういえば、この映画は面白いね。	ところで	それはさておき	そういえば	そういえば = by the way/comes to mind	Now that you mention it, that movie is good	[sound:cec4c687874c.mp3]	module:05-n1 jlpt:n1 register:literary point:n1-discourse-markers pos:expr frequency:top1k complexity:standard
ところで、資料は用意できました？	そういえば	それはさておき	ところで	ところで = moving on/now then	Now then, did you prepare materials?	[sound:1b3430165ba8.mp3]	module:05-n1 jlpt:n1 register:literary point:n1-discourse-markers pos:expr frequency:low complexity:standard
それはさておき、我々が今やるべきことは？	そういえば	ところで	それはさておき	それはさておき = putting aside/nevertheless	Nevertheless, what should we do now?	[sound:1748971d0204.mp3]	module:05-n1 jlpt:n1 register:literary point:n1-discourse-markers pos:expr frequency:top10k complexity:standard
そういえば、彼はいつ来るんだろう。	ところで	それはさておき	そういえば	そういえば = reminds me/it occurs to me	It occurs to me, when is he coming?	[sound:03445e5197e4.mp3]	module:05-n1 jlpt:n1 register:literary point:n1-discourse-markers pos:expr frequency:top5k complexity:standard
