#separator:tab
#html:true
#columns:Prompt	Target	Reading	Sample	Why	Audio	Tags
#notetype:Production
#deck:Japanese Grammar::13 - L1 Interference::Production

I am at school (location)	場所 + に + いる	がっこうにいます	学校にいます	に: static existence location — に marks WHERE things are/exist (L1 transfer: 'at'→に/で)	[sound:dde69ffca21a.mp3]	module:13-l1 point:l1-particles-overlap frequency:top1k complexity:intro source:curated-jpgram
I study at school (action context)	場所 + で + 動作	がっこうでべんきょうします	学校で勉強します	で: action environment — で marks WHERE actions happen; L1 calque of English 'at'	[sound:ae940f4b97d3.mp3]	module:13-l1 point:l1-particles-overlap frequency:top1k complexity:intro source:curated-jpgram
I am in the library (being there)	場所 + に + いる	としょかんにいます	図書館にいます	に: existential location — に for being/existing; contrast with L1 'at' covering both	[sound:f13584798bce.mp3]	module:13-l1 point:l1-particles-overlap frequency:top1k complexity:intro source:curated-jpgram
I read a book in the library (action)	場所 + で + 動作	としょかんでほんをよみます	図書館で本を読みます	で: action context — で marks the scene of activity; に marks static presence	[sound:84e88bf5a74c.mp3]	module:13-l1 point:l1-particles-overlap frequency:top10k complexity:intro source:curated-jpgram
I go by train (means)	手段 + で + 移動	でんしゃでいきます	電車で行きます	で: transportation method — で marks means; L1 interference: 'by train' as に	[sound:3c1c106a15b7.mp3]	module:13-l1 point:l1-particles-overlap frequency:top10k complexity:intro source:curated-jpgram
I go to Tokyo (destination)	目的地 + へ + 移動	とうきょうへいきます	東京へ行きます	へ: directional movement — へ emphasizes direction; に emphasizes arrival endpoint	[sound:985f578e286b.mp3]	module:13-l1 point:l1-particles-overlap frequency:top10k complexity:intro source:curated-jpgram
I met Tanaka (target)	人 + に + 会う	たなかさんにあいました	田中さんに会いました	に: contact/meeting target — に marks the person met; L1 interference: 'with'→と	[sound:ccccd266c70b.mp3]	module:13-l1 point:l1-particles-overlap frequency:top10k complexity:intro source:curated-jpgram
I met with Tanaka (together)	人 + と + 会う	たなかさんとあいました	田中さんと会いました	と: mutual accompaniment — と marks joint activity; に marks the target/recipient	[sound:a0b43a304215.mp3]	module:13-l1 point:l1-particles-overlap frequency:top10k complexity:intro source:curated-jpgram
I arrived at the station (completion)	目的地 + に + 到着	えきについきました	駅に着きました	に: giving target — に marks the receiver; L1 calque confuses に and を	[sound:d7a72c597359.mp3]	module:13-l1 point:l1-particles-overlap frequency:top1k complexity:intro source:curated-jpgram
I headed toward the station (direction)	方向 + へ + 向かう	えきへむかいました	駅へ向かいました	を: path traversal — を marks the path/space traversed; L1 uses 'through'→通って	[sound:f88ef7d02c02.mp3]	module:13-l1 point:l1-particles-overlap frequency:top10k complexity:intro source:curated-jpgram
