#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#
#deck:Japanese Grammar (Strict)::02 - N4 Grammar::Recognition

クソ！失敗した。	くそ。しっぱいした。	Damn it! I failed.	Mild vulgarity	クソ damn + failure	Frustration expression	Curse word		[sound:dcd3c7d63441.mp3]	register:slang register:vulgar module:02-n4 point:ぜんぜん complexity:intro frequency:top5k source:tofugu
うるせー、うるさいよ。	うるせー、うるさいよ。	Shut up, you're loud.	Rude dismissal	うるさい → crude	Rude demand	Dismissive anger		[sound:89690af55dc9.mp3]	register:slang register:vulgar module:02-n4 point:ぜんぜん complexity:intro source:tofugu
うぜー、そいつ。	うぜー、そいつ。	That guy is annoying as hell.	Crude negative	うざい → crude	Extreme annoyance	Rude dismissal		[sound:69a299ec047d.mp3]	register:slang register:vulgar module:02-n4 point:ぜんぜん complexity:intro source:tofugu
うずい、その人。	うずい、そのひと。	That person bugs me.	Mild negative	うざい variant	Mild irritation	Subtle disapproval		[sound:25db661d2cee.mp3]	register:slang register:vulgar module:02-n4 point:ぜんぜん complexity:intro frequency:top1k source:tofugu
ダスい、そのセンス。	ださい、そのせんす。	That sense is totally uncool.	Fashion criticism	ダサい uncool	Style judgment	Negative comment		[sound:c0a525a354f3.mp3]	register:slang register:vulgar module:02-n4 point:ぜんぜん complexity:intro frequency:low source:tofugu
アホだな。	あほだな。	That's stupid.	Mild insult	アホ fool/idiot	Light mockery	Mild curse		[sound:14c7b6413f6e.mp3]	register:slang register:vulgar module:02-n4 point:ぜんぜん complexity:intro source:tofugu
アホだよ、本当に。	あほだよ、ほんとうに。	You're seriously dumb.	Insult emphasis	アホ + really	Stronger insult	Mockery expression		[sound:c9125de7846e.mp3]	register:slang register:vulgar module:02-n4 point:ぜんぜん complexity:intro frequency:top1k source:tofugu
クソアホ！	くそあほ。	Damn idiot!	Strong insult	クソ + アホ double	Strong insult	Harsh curse		[sound:12af1e0acfbe.mp3]	register:slang register:vulgar module:02-n4 point:ぜんぜん complexity:intro source:tofugu
ポンコツだね、その機械。	ぽんこつだね、そのきかい。	That machine is useless.	Crude malfunction	ポンコツ broken	Object judgment	Dismissal expression		[sound:f1eaf272155a.mp3]	register:slang register:vulgar module:02-n4 point:ぜんぜん complexity:intro frequency:top10k source:tofugu
ぜんぜん駄目。	ぜんぜんだめ。	It's absolutely no good.	Absolute negative	ぜんぜん not at all	Complete failure	Negative assessment		[sound:5bad3c73f963.mp3]	register:slang register:vulgar module:02-n4 point:ぜんぜん complexity:intro frequency:top1k source:tofugu
クソ退屈。	くそたいくつ。	This is damned boring.	Boredom vulgarity	クソ damn + boring	Frustration expression	Curse emphasis		[sound:08fde4323855.mp3]	register:slang register:vulgar module:02-n4 point:ぜんぜん complexity:intro frequency:top10k source:tofugu
うるさいな、本当に。	うるさいな、ほんとうに。	You're seriously loud.	Annoyed complaint	うるさい noisy + really	Frustrated complaint	Direct complaint		[sound:24aa3f6b88fc.mp3]	register:slang register:vulgar module:02-n4 point:ぜんぜん complexity:intro frequency:top1k source:tofugu
クソゲー！	くそげー。	What a crappy game!	Game vulgarity	クソ + game	Harsh judgment	Game frustration		[sound:85364973df9f.mp3]	register:slang register:vulgar module:02-n4 point:ぜんぜん complexity:intro source:tofugu
アホ、気づかないで。	あほ、きづかないで。	Idiot, you didn't notice.	Directed insult	アホ fool + didn't	Direct insult	Mockery expression		[sound:94b5d2034c98.mp3]	register:slang register:vulgar module:02-n4 point:ぜんぜん complexity:intro frequency:top5k source:tofugu
ダスーい。	ださい。	That's super uncool.	Emphatic uncool	ダサい long emphasis	Harsh judgment	Fashion criticism		[sound:d26e74d97a73.mp3]	register:slang register:vulgar module:02-n4 point:ぜんぜん complexity:intro source:tofugu
