#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#deck:Japanese Grammar::10 - Onomatopoeia::Emotional

ワクワク	わくわく	Excited/thrilled.	Anticipation feeling	emotional	emotional state	excited anticipation	bored (つまらない)	[sound:e7676d6c3885.mp3]	module:10-onomatopoeia point:emotional-onomatopoeia complexity:intro
ハラハラ	はらはら	Nervous/anxious.	Worry or fear	emotional	emotional state	worried tension	calm confidence (ドン)	[sound:e70e6f5442ae.mp3]	module:10-onomatopoeia point:emotional-onomatopoeia complexity:intro
イライラ	いらいら	Annoyed/frustrated.	Irritation	emotional	emotional state	frustrated anger	peaceful acceptance (ほっ)	[sound:55757f0eae7c.mp3]	module:10-onomatopoeia point:emotional-onomatopoeia complexity:intro
ドキドキ	どきどき	Excited/nervous heart.	Emotion-driven pulse	emotional	emotional state	thrilled or scared	calm steady (おだやか)	[sound:5969d0688239.mp3]	module:10-onomatopoeia point:emotional-onomatopoeia complexity:intro
ボーッ	ぼーっ	Dazed/blank.	Unfocused state	emotional	emotional state	spaced out	alert and sharp (ぴん)	[sound:ff9ca079aadd.mp3]	module:10-onomatopoeia point:emotional-onomatopoeia complexity:intro
パサパサ	ぱさぱさ	Dry/uninspired.	Metaphorical dryness	emotional	emotional state	parched feeling	lively and moist (みずみず)	[sound:6448d235a307.mp3]	module:10-onomatopoeia point:emotional-onomatopoeia complexity:intro
ゲッソリ	げっそり	Haggard/exhausted.	Tired appearance	emotional	emotional state	worn out	fresh and rested (さっぱり)	[sound:65d2d2c94da4.mp3]	module:10-onomatopoeia point:emotional-onomatopoeia complexity:intro
ダラダラ	だらだら	Lazy/sluggish.	Unmotivated state	emotional	emotional state	sluggish mood	energetic and brisk (きびき)	[sound:de6e2010b9d3.mp3]	module:10-onomatopoeia point:emotional-onomatopoeia complexity:intro
スッキリ	すっきり	Refreshed/clear.	Clean feeling	emotional	emotional state	clarity and refresh	muddled and hazy (もやもや)	[sound:688731bbd538.mp3]	module:10-onomatopoeia point:emotional-onomatopoeia complexity:intro
ザワザワ	ざわざわ	Restless/uneasy.	Crowd noise or anxiety	emotional	emotional state	unsettled unease	serene quiet (しん)	[sound:6668b2f9d0a0.mp3]	module:10-onomatopoeia point:emotional-onomatopoeia complexity:intro
ニヤニヤ	にやにや	Smug/grinning.	Self-satisfied smile	emotional	emotional state	secret amusement	frown (むすっ)	[sound:cbb81e91398e.mp3]	module:10-onomatopoeia point:emotional-onomatopoeia complexity:intro
ムカムカ	むかむか	Irritated/disgusted.	Negative feeling	emotional	emotional state	disgust anger	pleased satisfaction (ほっ)	[sound:7494b213d2bd.mp3]	module:10-onomatopoeia point:emotional-onomatopoeia complexity:intro
ソワソワ	そわそわ	Restless/fidgety.	Anxious movement	emotional	emotional state	nervous fidgeting	calm stability (じっと)	[sound:da67db651eb4.mp3]	module:10-onomatopoeia point:emotional-onomatopoeia complexity:intro
ウキウキ	うきうき	Cheerful/elated.	Happy anticipation	emotional	emotional state	joyful excitement	gloomy sadness (しょんぼり)	[sound:e563d2f18388.mp3]	module:10-onomatopoeia point:emotional-onomatopoeia complexity:intro
シュンと	しゅんと	Deflated/disappointed.	Sudden sadness	emotional	emotional state	disappointed drop	excited rise (ぴょん)	[sound:6485e1317d42.mp3]	module:10-onomatopoeia point:emotional-onomatopoeia complexity:intro
モヤモヤ	もやもや	Confused/unclear.	Mental fog	emotional	emotional state	mental haziness	clear clarity (くっきり)	[sound:b530ed92dcd7.mp3]	module:10-onomatopoeia point:emotional-onomatopoeia complexity:intro
クラクラ	くらくら	Dizzy/spinning.	Disoriented feeling	emotional	emotional state	vertigo sensation	stable and grounded (ビシッ)	[sound:9ed82a8718bc.mp3]	module:10-onomatopoeia point:emotional-onomatopoeia complexity:intro
ジンジン	じんじん	Tingling/numb.	Sensation	emotional	emotional state	prickling feeling	smooth ease (すーっ)	[sound:96ff4b3aba9e.mp3]	module:10-onomatopoeia point:emotional-onomatopoeia complexity:intro
シュンシュン	しゅんしゅん	Drooping/sad.	Despondent feeling	emotional	emotional state	melancholy droop	upright confidence (きりり)	[sound:3f17016c002d.mp3]	module:10-onomatopoeia point:emotional-onomatopoeia complexity:intro
ワイワイ	わいわい	Lively/noisy.	Group excitement	emotional	emotional state	boisterous fun	quiet solitude (しん)	[sound:0b7fad0f82d2.mp3]	module:10-onomatopoeia point:emotional-onomatopoeia complexity:intro
