#separator:tab
#html:true
#columns:Text	Reading	Hint	Audio	Tags
#notetype:Cloze
#deck:Japanese Grammar::03 - N3 Grammar::Cloze
#
私は好きだが、{{c1::彼は嫌いだ}}。	わたしはすきだが、{{c1::かれはきらいだ}}。	he dislikes it	[sound:ec3e0200c2ff.mp3]	module:03-n3 jlpt:n3 point:n3-misc-conjunctions complexity:standard frequency:top5k complexity:intro source:shin-kanzen
難しいけれども、{{c1::頑張る}}。	むずかしいけれども、{{c1::がんばる}}。	will do my best	[sound:c6894ec21d71.mp3]	module:03-n3 jlpt:n3 point:n3-misc-conjunctions complexity:standard frequency:top5k complexity:intro source:shin-kanzen
食べたら、{{c1::眠くなった}}。	たべたら、{{c1::ねむくなった}}。	became sleepy	[sound:d09982722563.mp3]	module:03-n3 jlpt:n3 point:n3-misc-conjunctions complexity:standard frequency:top5k complexity:intro source:shin-kanzen
行ったら、{{c1::楽しいだろう}}。	いったら、{{c1::たのしいだろう}}。	probably fun	[sound:4fd8d92f2469.mp3]	module:03-n3 jlpt:n3 point:n3-misc-conjunctions complexity:standard frequency:top5k frequency:top1k complexity:intro source:shin-kanzen
病気のため、{{c1::休んだ}}。	びょうきのため、{{c1::やすんだ}}。	took rest	[sound:1ca3cac035e6.mp3]	module:03-n3 jlpt:n3 point:n3-misc-conjunctions complexity:standard frequency:top5k frequency:top1k complexity:intro source:shin-kanzen
背が高いのうえ、{{c1::頭がいい}}。	せがたかいのうえ、{{c1::あたまがいい}}。	intelligent too	[sound:ae481045ac4d.mp3]	module:03-n3 jlpt:n3 point:n3-misc-conjunctions complexity:standard frequency:top5k frequency:top1k complexity:intro source:shin-kanzen
弟ばかりか、{{c1::兄も来た}}。	おとうとばかりか、{{c1::あにもきた}}。	older brother came too	[sound:ea578cc19b33.mp3]	module:03-n3 jlpt:n3 point:n3-misc-conjunctions complexity:standard frequency:top5k frequency:top10k complexity:intro source:shin-kanzen
現れたとたんに、{{c1::騒ぎが起きた}}。	あらわれたとたんに、{{c1::さわぎがおきた}}。	commotion broke out	[sound:2725129c8c83.mp3]	module:03-n3 jlpt:n3 point:n3-misc-conjunctions complexity:standard frequency:top5k frequency:top10k complexity:intro source:shin-kanzen
行ったのではなく、{{c1::送った}}。	いったのではなく、{{c1::おくった}}。	sent instead	[sound:dec51d1dda81.mp3]	module:03-n3 jlpt:n3 point:n3-misc-conjunctions complexity:standard frequency:top5k complexity:intro source:shin-kanzen
努力した結果、{{c1::成功した}}。	どりょくしたけっか、{{c1::せいこうした}}。	succeeded	[sound:8ab51e0431a2.mp3]	module:03-n3 jlpt:n3 point:n3-misc-conjunctions complexity:standard frequency:top5k frequency:top10k complexity:intro source:shin-kanzen
